Date,H/A,Opponent,Attendance
17/8/2019,A,Leganés,"10,020"
24/8/2019,H,Eibar,"13,978"
31/8/2019,H,Barcelona,"16,742"
15/9/2019,A,Real Valladolid,"20,670"
20/9/2019,H,Real Betis,"15,569"
25/9/2019,A,Real Madrid,"57,520"
29/9/2019,A,Levante,"19,362"
5/10/2019,H,Villarreal,"15,349"
18/10/2019,A,Granada,"16,986"
27/10/2019,H,Valencia,"14,976"
31/10/2019,A,Mallorca,"12,641"
3/11/2019,H,Alavés,"15,954"
10/11/2019,A,Getafe,"10,558"
24/11/2019,H,Athletic Bilbao,"16,145"
1/12/2019,A,Espanyol,"21,238"
8/12/2019,H,Sevilla,"15,045"
14/12/2019,A,Atlético Madrid,"46,033"
22/12/2019,H,Real Sociedad,"16,197"
5/1/2020,A,Celta Vigo,"11,932"
18/1/2020,H,Real Valladolid,"15,382"
24/1/2020,H,Levante,"14,667"
2/2/2020,A,Villarreal,"17,081"
9/2/2020,H,Real Madrid,"17,000"
16/2/2020,A,Athletic Bilbao,"44,222"
23/2/2020,H,Granada,"14,866"
1/3/2020,A,Sevilla,"31,382"
8/3/2020,H,Espanyol,"15,737"
14/6/2020,A,Real Sociedad,n/a
17/6/2020,H,Atlético Madrid,n/a
21/6/2020,A,Valencia,n/a
24/6/2020,A,Alavés,n/a
27/6/2020,H,Leganés,n/a
2/7/2020,A,Eibar,n/a
5/7/2020,H,Getafe,n/a
8/7/2020,A,Real Betis,n/a
11/7/2020,H,Celta Vigo,n/a
16/7/2020,A,Barcelona,n/a
