Date,H/A,Opponent,Attendance
17/8/2019,A,Celta Vigo,"23,566"
24/8/2019,H,Real Valladolid,"63,037"
1/9/2019,A,Villarreal,"20,128"
14/9/2019,H,Levante,"60,401"
18/9/2019,A,Paris St Germain,"46,361"
22/9/2019,A,Sevilla,"42,354"
25/9/2019,H,Osasuna,"57,520"
28/9/2019,A,Atlético Madrid,"68,032"
1/10/2019,H,Club Brugge,"65,112"
5/10/2019,H,Granada,"70,315"
19/10/2019,A,Mallorca,"20,275"
22/10/2019,A,Galatasaray,"48,886"
30/10/2019,H,Leganés,n/a
2/11/2019,H,Real Betis,"70,375"
6/11/2019,H,Galatasaray,"65,492"
9/11/2019,A,Eibar,"7,045"
23/11/2019,H,Real Sociedad,"69,305"
26/11/2019,H,Paris St Germain,"75,534"
30/11/2019,A,Alavés,"19,357"
7/12/2019,H,Espanyol,"64,125"
11/12/2019,A,Club Brugge,"27,308"
15/12/2019,A,Valencia,"44,230"
18/12/2019,A,Barcelona,"93,426"
22/12/2019,H,Athletic Bilbao,"71,306"
4/1/2020,A,Getafe,"15,426"
18/1/2020,H,Sevilla,"72,512"
26/1/2020,A,Real Valladolid,"23,404"
1/2/2020,H,Atlético Madrid,"77,223"
9/2/2020,A,Osasuna,"17,000"
16/2/2020,H,Celta Vigo,"62,477"
22/2/2020,A,Levante,"23,566"
26/2/2020,H,Manchester City,"75,615"
1/3/2020,H,Barcelona,"78,357"
8/3/2020,A,Real Betis,"51,521"
14/6/2020,H,Eibar,n/a
18/6/2020,H,Valencia,n/a
21/6/2020,A,Real Sociedad,n/a
24/6/2020,H,Mallorca,n/a
28/6/2020,A,Espanyol,n/a
2/7/2020,H,Getafe,n/a
5/7/2020,A,Athletic Bilbao,n/a
10/7/2020,H,Alavés,n/a
13/7/2020,A,Granada,n/a
16/7/2020,H,Villarreal,n/a
