Date,H/A,Opponent,Attendance
18/8/2019,A,Real Betis,"51,497"
24/8/2019,A,Real Madrid,"63,037"
31/8/2019,A,Levante,"19,347"
15/9/2019,H,Osasuna,"20,670"
21/9/2019,A,Villarreal,"16,195"
24/9/2019,H,Granada,"18,410"
29/9/2019,A,Espanyol,"20,911"
6/10/2019,H,Atlético Madrid,"23,650"
20/10/2019,A,Athletic Bilbao,"37,107"
26/10/2019,H,Eibar,"20,036"
29/10/2019,A,Barcelona,"59,896"
3/11/2019,H,Mallorca,"18,419"
9/11/2019,A,Alavés,"16,148"
24/11/2019,H,Sevilla,"18,169"
29/11/2019,A,Celta Vigo,"16,918"
8/12/2019,H,Real Sociedad,"18,654"
15/12/2019,A,Getafe,"10,816"
21/12/2019,H,Valencia,"16,295"
3/1/2020,H,Leganés,"21,492"
18/1/2020,A,Osasuna,"15,382"
26/1/2020,H,Real Madrid,"23,404"
1/2/2020,A,Mallorca,"13,891"
8/2/2020,H,Villarreal,"17,547"
15/2/2020,A,Granada,"15,782"
23/2/2020,H,Espanyol,"19,645"
28/2/2020,A,Real Sociedad,"30,611"
8/3/2020,H,Athletic Bilbao,"21,632"
13/6/2020,A,Leganés,n/a
17/6/2020,H,Celta Vigo,n/a
20/6/2020,A,Atlético Madrid,n/a
23/6/2020,H,Getafe,n/a
26/6/2020,A,Sevilla,n/a
1/7/2020,H,Levante,n/a
4/7/2020,H,Alavés,n/a
7/7/2020,A,Valencia,n/a
11/7/2020,H,Barcelona,n/a
16/7/2020,A,Eibar,n/a
