Date,H/A,Opponent,Attendance
17/8/2019,H,Granada,"14,753"
23/8/2019,A,Levante,"20,240"
1/9/2019,H,Real Madrid,"20,128"
14/9/2019,A,Leganés,"7,670"
21/9/2019,H,Real Valladolid,"16,195"
24/9/2019,A,Barcelona,"70,316"
27/9/2019,H,Real Betis,"18,135"
5/10/2019,A,Osasuna,"15,349"
20/10/2019,A,Espanyol,"20,653"
25/10/2019,H,Alavés,"16,049"
31/10/2019,A,Eibar,"5,583"
3/11/2019,H,Athletic Bilbao,"17,460"
10/11/2019,A,Mallorca,"8,348"
24/11/2019,H,Celta Vigo,"17,352"
30/11/2019,A,Valencia,"38,521"
6/12/2019,H,Atlético Madrid,"17,964"
15/12/2019,A,Sevilla,"36,521"
21/12/2019,H,Getafe,"14,526"
5/1/2020,A,Real Sociedad,"31,538"
19/1/2020,H,Espanyol,"12,053"
25/1/2020,A,Alavés,"18,153"
2/2/2020,H,Osasuna,"17,081"
8/2/2020,A,Real Valladolid,"17,547"
15/2/2020,H,Levante,"17,269"
23/2/2020,A,Atlético Madrid,"54,462"
1/3/2020,A,Athletic Bilbao,"36,350"
8/3/2020,H,Leganés,"16,143"
13/6/2020,A,Celta Vigo,n/a
16/6/2020,H,Mallorca,n/a
19/6/2020,A,Granada,n/a
22/6/2020,H,Sevilla,n/a
28/6/2020,H,Valencia,n/a
1/7/2020,A,Real Betis,n/a
5/7/2020,H,Barcelona,n/a
8/7/2020,A,Getafe,n/a
13/7/2020,H,Real Sociedad,n/a
16/7/2020,A,Real Madrid,n/a
