Date,H/A,Opponent,Attendance
18/8/2019,H,Levante,"12,029"
25/8/2019,H,Espanyol,"14,567"
31/8/2019,A,Getafe,"10,806"
15/9/2019,H,Sevilla,"16,309"
22/9/2019,A,Athletic Bilbao,"45,143"
26/9/2019,A,Real Sociedad,"28,720"
29/9/2019,H,Mallorca,"17,135"
5/10/2019,A,Valencia,"38,943"
20/10/2019,H,Celta Vigo,"16,584"
25/10/2019,A,Villarreal,"16,049"
29/10/2019,H,Atlético Madrid,"17,235"
3/11/2019,A,Osasuna,"15,954"
9/11/2019,H,Real Valladolid,"16,148"
24/11/2019,A,Eibar,"6,315"
30/11/2019,H,Real Madrid,"19,357"
7/12/2019,A,Granada,"14,773"
13/12/2019,H,Leganés,"15,567"
21/12/2019,A,Barcelona,"63,054"
5/1/2020,H,Real Betis,"17,689"
18/1/2020,A,Levante,"16,848"
25/1/2020,H,Villarreal,"18,153"
2/2/2020,A,Sevilla,"36,286"
7/2/2020,H,Eibar,"17,089"
15/2/2020,A,Mallorca,"12,329"
23/2/2020,H,Athletic Bilbao,"19,412"
29/2/2020,A,Leganés,"10,043"
6/3/2020,H,Valencia,"14,083"
13/6/2020,A,Espanyol,n/a
18/6/2020,H,Real Sociedad,n/a
21/6/2020,A,Celta Vigo,n/a
24/6/2020,H,Osasuna,n/a
27/6/2020,A,Atlético Madrid,n/a
1/7/2020,H,Granada,n/a
4/7/2020,A,Real Valladolid,n/a
10/7/2020,A,Real Madrid,n/a
13/7/2020,H,Getafe,n/a
16/7/2020,A,Real Betis,n/a
