Date,H/A,Opponent,Attendance
16/8/2019,H,Barcelona,"47,693"
24/8/2019,A,Getafe,"10,103"
30/8/2019,H,Real Sociedad,"46,697"
13/9/2019,A,Mallorca,"16,390"
22/9/2019,H,Alavés,"45,143"
25/9/2019,A,Leganés,"11,036"
28/9/2019,H,Valencia,"42,420"
6/10/2019,A,Celta Vigo,"19,690"
20/10/2019,H,Real Valladolid,"37,107"
26/10/2019,A,Atlético Madrid,"59,211"
30/10/2019,H,Espanyol,n/a
3/11/2019,A,Villarreal,"17,460"
10/11/2019,H,Levante,"33,202"
24/11/2019,A,Osasuna,"16,145"
1/12/2019,H,Granada,"37,974"
8/12/2019,A,Real Betis,"46,106"
14/12/2019,H,Eibar,"43,203"
22/12/2019,A,Real Madrid,"71,306"
3/1/2020,A,Sevilla,"37,972"
19/1/2020,H,Celta Vigo,"41,348"
25/1/2020,A,Espanyol,"27,542"
2/2/2020,H,Getafe,"40,291"
9/2/2020,A,Real Sociedad,"36,730"
16/2/2020,H,Osasuna,"44,222"
23/2/2020,A,Alavés,"19,412"
1/3/2020,H,Villarreal,"36,350"
8/3/2020,A,Real Valladolid,"21,632"
14/6/2020,H,Atlético Madrid,n/a
17/6/2020,A,Eibar,n/a
20/6/2020,H,Real Betis,n/a
23/6/2020,A,Barcelona,n/a
27/6/2020,H,Mallorca,n/a
1/7/2020,A,Valencia,n/a
5/7/2020,H,Real Madrid,n/a
9/7/2020,H,Sevilla,n/a
12/7/2020,A,Levante,n/a
16/7/2020,H,Leganés,n/a
