Date,H/A,Opponent,Attendance
16/8/2019,A,Athletic Bilbao,"47,693"
25/8/2019,H,Real Betis,"79,159"
31/8/2019,A,Osasuna,"16,742"
14/9/2019,H,Valencia,"81,617"
17/9/2019,A,Borussia Dortmund,"66,099"
21/9/2019,A,Granada,"18,880"
24/9/2019,H,Villarreal,"70,316"
28/9/2019,A,Getafe,"15,135"
2/10/2019,H,Inter Milan,"86,141"
6/10/2019,H,Sevilla,"81,331"
19/10/2019,A,Eibar,"7,295"
23/10/2019,A,Slavia Prague,"19,170"
29/10/2019,H,Real Valladolid,"59,896"
2/11/2019,A,Levante,"23,341"
5/11/2019,H,Slavia Prague,"67,023"
9/11/2019,H,Celta Vigo,"71,209"
23/11/2019,A,Leganés,"12,110"
27/11/2019,H,Borussia Dortmund,"90,071"
1/12/2019,A,Atlético Madrid,"64,226"
7/12/2019,H,Mallorca,"71,072"
10/12/2019,A,Inter Milan,"71,818"
14/12/2019,A,Real Sociedad,"36,639"
18/12/2019,H,Real Madrid,"93,426"
21/12/2019,H,Alavés,"63,054"
4/1/2020,A,Espanyol,"33,562"
19/1/2020,H,Granada,"65,444"
25/1/2020,A,Valencia,"45,882"
2/2/2020,H,Levante,"60,295"
9/2/2020,A,Real Betis,"54,526"
15/2/2020,H,Getafe,"89,409"
22/2/2020,H,Eibar,"66,970"
25/2/2020,A,Napoli,"44,388"
1/3/2020,A,Real Madrid,"78,357"
7/3/2020,H,Real Sociedad,"77,035"
13/6/2020,A,Mallorca,n/a
16/6/2020,H,Leganés,n/a
19/6/2020,A,Sevilla,n/a
23/6/2020,H,Athletic Bilbao,n/a
27/6/2020,A,Celta Vigo,n/a
30/6/2020,H,Atlético Madrid,n/a
5/7/2020,A,Villarreal,n/a
8/7/2020,H,Espanyol,n/a
11/7/2020,A,Real Valladolid,n/a
16/7/2020,H,Osasuna,n/a
