Date,H/A,Opponent,Attendance
18/8/2019,H,Real Valladolid,"51,497"
25/8/2019,A,Barcelona,"79,159"
31/8/2019,H,Leganés,"47,819"
15/9/2019,H,Getafe,"47,884"
20/9/2019,A,Osasuna,"15,569"
24/9/2019,H,Levante,"44,560"
27/9/2019,A,Villarreal,"18,135"
4/10/2019,H,Eibar,"47,056"
20/10/2019,A,Real Sociedad,"28,032"
27/10/2019,A,Granada,"18,985"
30/10/2019,H,Celta Vigo,n/a
2/11/2019,A,Real Madrid,"70,375"
10/11/2019,H,Sevilla,"52,123"
23/11/2019,H,Valencia,"46,545"
30/11/2019,A,Mallorca,"16,810"
8/12/2019,H,Athletic Bilbao,"46,106"
15/12/2019,A,Espanyol,"22,248"
22/12/2019,H,Atlético Madrid,"52,017"
5/1/2020,A,Alavés,"17,689"
19/1/2020,H,Real Sociedad,"51,171"
26/1/2020,A,Getafe,"13,244"
2/2/2020,A,Eibar,"6,558"
9/2/2020,H,Barcelona,"54,526"
16/2/2020,A,Leganés,"11,160"
21/2/2020,H,Mallorca,n/a
29/2/2020,A,Valencia,"37,418"
8/3/2020,H,Real Madrid,"51,521"
11/6/2020,A,Sevilla,n/a
15/6/2020,H,Granada,n/a
20/6/2020,A,Athletic Bilbao,n/a
25/6/2020,H,Espanyol,n/a
28/6/2020,A,Levante,n/a
1/7/2020,H,Villarreal,n/a
4/7/2020,A,Celta Vigo,n/a
8/7/2020,H,Osasuna,n/a
11/7/2020,A,Atlético Madrid,n/a
16/7/2020,H,Alavés,n/a
