Date,H/A,Opponent,Attendance
17/8/2019,A,Mallorca,"15,127"
24/8/2019,A,Osasuna,"13,978"
1/9/2019,A,Atlético Madrid,"56,664"
15/9/2019,H,Espanyol,"5,410"
21/9/2019,A,Levante,"18,904"
26/9/2019,H,Sevilla,"5,434"
29/9/2019,H,Celta Vigo,"5,453"
4/10/2019,A,Real Betis,"47,056"
19/10/2019,H,Barcelona,"7,295"
26/10/2019,A,Real Valladolid,"20,036"
31/10/2019,H,Villarreal,"5,583"
3/11/2019,A,Leganés,"9,649"
9/11/2019,H,Real Madrid,"7,045"
24/11/2019,H,Alavés,"6,315"
30/11/2019,A,Real Sociedad,"28,612"
8/12/2019,H,Getafe,"5,969"
14/12/2019,A,Athletic Bilbao,"43,203"
20/12/2019,H,Granada,"5,341"
4/1/2020,A,Valencia,"39,702"
18/1/2020,H,Atlético Madrid,"6,429"
26/1/2020,A,Celta Vigo,"15,490"
2/2/2020,H,Real Betis,"6,558"
7/2/2020,A,Alavés,"17,089"
22/2/2020,A,Barcelona,"66,970"
29/2/2020,H,Levante,"5,920"
7/3/2020,H,Mallorca,"6,110"
10/3/2020,H,Real Sociedad,n/a
14/6/2020,A,Real Madrid,n/a
17/6/2020,H,Athletic Bilbao,n/a
20/6/2020,A,Getafe,n/a
25/6/2020,H,Valencia,n/a
28/6/2020,A,Granada,n/a
2/7/2020,H,Osasuna,n/a
6/7/2020,A,Sevilla,n/a
9/7/2020,H,Leganés,n/a
12/7/2020,A,Espanyol,n/a
16/7/2020,H,Real Valladolid,n/a
