Date,H/A,Opponent,Attendance
18/8/2019,A,Atlético Madrid,"55,099"
24/8/2019,H,Athletic Bilbao,"10,103"
31/8/2019,H,Alavés,"10,806"
15/9/2019,A,Real Betis,"47,884"
19/9/2019,H,Trabzonspor,"5,786"
22/9/2019,H,Mallorca,"11,338"
25/9/2019,A,Valencia,"37,814"
28/9/2019,H,Barcelona,"15,135"
3/10/2019,A,FK Krasnodar,"20,035"
6/10/2019,A,Real Sociedad,"30,153"
19/10/2019,H,Leganés,"13,018"
24/10/2019,H,Basel,"6,213"
27/10/2019,A,Sevilla,"38,181"
31/10/2019,H,Granada,"10,227"
3/11/2019,A,Celta Vigo,"14,704"
7/11/2019,A,Basel,"26,298"
10/11/2019,H,Osasuna,"10,558"
24/11/2019,A,Espanyol,"22,031"
28/11/2019,A,Trabzonspor,n/a
1/12/2019,H,Levante,"6,535"
8/12/2019,A,Eibar,"5,969"
12/12/2019,H,FK Krasnodar,"9,389"
15/12/2019,H,Real Valladolid,"10,816"
21/12/2019,A,Villarreal,"14,526"
4/1/2020,H,Real Madrid,"15,426"
17/1/2020,A,Leganés,"11,450"
26/1/2020,H,Real Betis,"13,244"
2/2/2020,A,Athletic Bilbao,"40,291"
8/2/2020,H,Valencia,"13,070"
15/2/2020,A,Barcelona,"89,409"
20/2/2020,H,Ajax,"14,039"
23/2/2020,H,Sevilla,"13,438"
27/2/2020,A,Ajax,n/a
1/3/2020,A,Mallorca,"14,241"
7/3/2020,H,Celta Vigo,"11,286"
12/6/2020,A,Granada,n/a
16/6/2020,H,Espanyol,n/a
20/6/2020,H,Eibar,n/a
23/6/2020,A,Real Valladolid,n/a
29/6/2020,H,Real Sociedad,n/a
2/7/2020,A,Real Madrid,n/a
5/7/2020,A,Osasuna,n/a
8/7/2020,H,Villarreal,n/a
13/7/2020,A,Alavés,n/a
16/7/2020,H,Atlético Madrid,n/a
