Date,H/A,Opponent,Attendance
18/8/2019,A,Espanyol,"19,832"
23/8/2019,A,Granada,"15,849"
30/8/2019,H,Celta Vigo,"37,787"
15/9/2019,A,Alavés,"16,309"
19/9/2019,A,FK Qaraba?,"30,826"
22/9/2019,H,Real Madrid,"42,354"
26/9/2019,A,Eibar,"5,434"
29/9/2019,H,Real Sociedad,"37,414"
3/10/2019,H,Apoel Nicosia,"30,008"
6/10/2019,A,Barcelona,"81,331"
20/10/2019,H,Levante,"34,612"
24/10/2019,H,F91 Dudelange,"26,165"
27/10/2019,H,Getafe,"38,181"
30/10/2019,A,Valencia,n/a
2/11/2019,H,Atlético Madrid,"39,957"
7/11/2019,A,F91 Dudelange,"2,848"
10/11/2019,A,Real Betis,"52,123"
24/11/2019,A,Real Valladolid,"18,169"
28/11/2019,H,FK Qaraba?,n/a
1/12/2019,H,Leganés,"33,648"
8/12/2019,A,Osasuna,"15,045"
12/12/2019,A,Apoel Nicosia,"5,608"
15/12/2019,H,Villarreal,"36,521"
21/12/2019,A,Mallorca,"14,321"
3/1/2020,H,Athletic Bilbao,"37,972"
18/1/2020,A,Real Madrid,"72,512"
25/1/2020,H,Granada,"33,533"
2/2/2020,H,Alavés,"36,286"
9/2/2020,A,Celta Vigo,"20,375"
16/2/2020,H,Espanyol,"35,661"
20/2/2020,A,CFR Cluj-Napoca,"14,820"
23/2/2020,A,Getafe,"13,438"
27/2/2020,H,CFR Cluj-Napoca,n/a
1/3/2020,H,Osasuna,"31,382"
7/3/2020,A,Atlético Madrid,"60,422"
11/6/2020,H,Real Betis,n/a
15/6/2020,A,Levante,n/a
19/6/2020,H,Barcelona,n/a
22/6/2020,A,Villarreal,n/a
26/6/2020,H,Real Valladolid,n/a
30/6/2020,A,Leganés,n/a
6/7/2020,H,Eibar,n/a
9/7/2020,A,Athletic Bilbao,n/a
12/7/2020,H,Mallorca,n/a
16/7/2020,A,Real Sociedad,n/a
