Date,H/A,Opponent,Attendance
17/8/2019,A,Valencia,"41,846"
25/8/2019,A,Mallorca,"18,028"
30/8/2019,A,Athletic Bilbao,"46,697"
14/9/2019,H,Atlético Madrid,"34,719"
22/9/2019,A,Espanyol,"19,173"
26/9/2019,H,Alavés,"28,720"
29/9/2019,A,Sevilla,"37,414"
6/10/2019,H,Getafe,"30,153"
20/10/2019,H,Real Betis,"28,032"
27/10/2019,A,Celta Vigo,"18,002"
30/10/2019,H,Levante,n/a
3/11/2019,A,Granada,"16,898"
8/11/2019,H,Leganés,"27,684"
23/11/2019,A,Real Madrid,"69,305"
30/11/2019,H,Eibar,"28,612"
8/12/2019,A,Real Valladolid,"18,654"
14/12/2019,H,Barcelona,"36,639"
22/12/2019,A,Osasuna,"16,197"
5/1/2020,H,Villarreal,"31,538"
19/1/2020,A,Real Betis,"51,171"
26/1/2020,H,Mallorca,"29,912"
2/2/2020,A,Leganés,"10,842"
9/2/2020,H,Athletic Bilbao,"36,730"
22/2/2020,H,Valencia,"31,381"
28/2/2020,H,Real Valladolid,"30,611"
7/3/2020,A,Barcelona,"77,035"
10/3/2020,A,Eibar,n/a
14/6/2020,H,Osasuna,n/a
18/6/2020,A,Alavés,n/a
21/6/2020,H,Real Madrid,n/a
24/6/2020,H,Celta Vigo,n/a
29/6/2020,A,Getafe,n/a
2/7/2020,H,Espanyol,n/a
6/7/2020,A,Levante,n/a
10/7/2020,H,Granada,n/a
13/7/2020,A,Villarreal,n/a
16/7/2020,H,Sevilla,n/a
