Date,H/A,Opponent,Attendance
17/8/2019,H,Real Sociedad,"41,846"
24/8/2019,A,Celta Vigo,"20,034"
1/9/2019,H,Mallorca,"40,441"
14/9/2019,A,Barcelona,"81,617"
17/9/2019,A,Chelsea,"39,469"
22/9/2019,H,Leganés,"39,014"
25/9/2019,H,Getafe,"37,814"
28/9/2019,A,Athletic Bilbao,"42,420"
2/10/2019,H,Ajax,"44,659"
5/10/2019,H,Alavés,"38,943"
19/10/2019,A,Atlético Madrid,"61,603"
23/10/2019,A,Lille,"47,488"
27/10/2019,A,Osasuna,"14,976"
30/10/2019,H,Sevilla,n/a
2/11/2019,A,Espanyol,"18,428"
5/11/2019,H,Lille,"38,252"
9/11/2019,H,Granada,"39,882"
23/11/2019,A,Real Betis,"46,545"
27/11/2019,H,Chelsea,"43,486"
30/11/2019,H,Villarreal,"38,521"
7/12/2019,A,Levante,"23,137"
10/12/2019,A,Ajax,n/a
15/12/2019,H,Real Madrid,"44,230"
21/12/2019,A,Real Valladolid,"16,295"
4/1/2020,H,Eibar,"39,702"
19/1/2020,A,Mallorca,"9,856"
25/1/2020,H,Barcelona,"45,882"
1/2/2020,H,Celta Vigo,"39,637"
8/2/2020,A,Getafe,"13,070"
14/2/2020,H,Atlético Madrid,"42,297"
19/2/2020,A,Atalanta,"44,236"
22/2/2020,A,Real Sociedad,"31,381"
29/2/2020,H,Real Betis,"37,418"
6/3/2020,A,Alavés,"14,083"
10/3/2020,H,Atalanta,n/a
12/6/2020,H,Levante,n/a
18/6/2020,A,Real Madrid,n/a
21/6/2020,H,Osasuna,n/a
25/6/2020,A,Eibar,n/a
28/6/2020,A,Villarreal,n/a
1/7/2020,H,Athletic Bilbao,n/a
4/7/2020,A,Granada,n/a
7/7/2020,H,Real Valladolid,n/a
12/7/2020,A,Leganés,n/a
16/7/2020,H,Espanyol,n/a
