Date,H/A,Opponent,Attendance
17/8/2019,H,Real Madrid,"23,566"
24/8/2019,H,Valencia,"20,034"
30/8/2019,A,Sevilla,"37,787"
15/9/2019,H,Granada,"18,259"
21/9/2019,A,Atlético Madrid,"57,701"
26/9/2019,H,Espanyol,"16,361"
29/9/2019,A,Eibar,"5,453"
6/10/2019,H,Athletic Bilbao,"19,690"
20/10/2019,A,Alavés,"16,584"
27/10/2019,H,Real Sociedad,"18,002"
30/10/2019,A,Real Betis,n/a
3/11/2019,H,Getafe,"14,704"
9/11/2019,A,Barcelona,"71,209"
24/11/2019,A,Villarreal,"17,352"
29/11/2019,H,Real Valladolid,"16,918"
8/12/2019,A,Leganés,"7,115"
15/12/2019,H,Mallorca,"13,247"
22/12/2019,A,Levante,"18,653"
5/1/2020,H,Osasuna,"11,932"
19/1/2020,A,Athletic Bilbao,"41,348"
26/1/2020,H,Eibar,"15,490"
1/2/2020,A,Valencia,"39,637"
9/2/2020,H,Sevilla,"20,375"
16/2/2020,A,Real Madrid,"62,477"
22/2/2020,H,Leganés,"19,335"
29/2/2020,A,Granada,"15,877"
7/3/2020,A,Getafe,"11,286"
13/6/2020,H,Villarreal,n/a
17/6/2020,A,Real Valladolid,n/a
21/6/2020,H,Alavés,n/a
24/6/2020,A,Real Sociedad,n/a
27/6/2020,H,Barcelona,n/a
30/6/2020,A,Mallorca,n/a
4/7/2020,H,Real Betis,n/a
7/7/2020,H,Atlético Madrid,n/a
11/7/2020,A,Osasuna,n/a
16/7/2020,H,Levante,n/a
