Date,H/A,Opponent,Attendance
25/8/2019,A,Hellas Verona,n/a
30/8/2019,H,SPAL,n/a
15/9/2019,A,Brescia,n/a
22/9/2019,H,Roma,n/a
25/9/2019,A,Genoa,n/a
29/9/2019,A,Udinese,n/a
6/10/2019,H,Lazio,"22,052"
19/10/2019,A,Juventus,n/a
27/10/2019,H,Sampdoria,n/a
30/10/2019,A,Cagliari,n/a
2/11/2019,H,Inter Milan,n/a
8/11/2019,A,Sassuolo,n/a
24/11/2019,H,Parma,n/a
1/12/2019,A,Napoli,n/a
8/12/2019,H,AC Milan,"23,707"
15/12/2019,H,Atalanta,n/a
22/12/2019,A,Lecce,"24,178"
6/1/2020,H,Fiorentina,"22,653"
12/1/2020,A,Torino,n/a
19/1/2020,H,Hellas Verona,n/a
25/1/2020,A,SPAL,n/a
1/2/2020,H,Brescia,n/a
7/2/2020,A,Roma,n/a
15/2/2020,H,Genoa,n/a
22/2/2020,H,Udinese,n/a
29/2/2020,A,Lazio,n/a
22/6/2020,H,Juventus,n/a
28/6/2020,A,Sampdoria,n/a
1/7/2020,H,Cagliari,n/a
5/7/2020,A,Inter Milan,n/a
8/7/2020,H,Sassuolo,n/a
12/7/2020,A,Parma,n/a
15/7/2020,H,Napoli,n/a
