Date,H/A,Opponent,Attendance
25/8/2019,H,Brescia,n/a
1/9/2019,H,Inter Milan,"16,412"
15/9/2019,A,Parma,n/a
20/9/2019,H,Genoa,n/a
25/9/2019,A,Napoli,n/a
29/9/2019,H,Hellas Verona,n/a
6/10/2019,A,Roma,"34,385"
20/10/2019,H,SPAL,n/a
27/10/2019,A,Torino,n/a
30/10/2019,H,Bologna,n/a
3/11/2019,A,Atalanta,n/a
10/11/2019,H,Fiorentina,"16,316"
25/11/2019,A,Lecce,"21,435"
2/12/2019,H,Sampdoria,n/a
8/12/2019,A,Sassuolo,"12,666"
16/12/2019,H,Lazio,n/a
21/12/2019,A,Udinese,n/a
6/1/2020,A,Juventus,"40,598"
11/1/2020,H,AC Milan,n/a
19/1/2020,A,Brescia,n/a
26/1/2020,A,Inter Milan,"70,465"
1/2/2020,H,Parma,n/a
9/2/2020,A,Genoa,"21,301"
16/2/2020,H,Napoli,n/a
1/3/2020,H,Roma,"14,848"
20/6/2020,A,Hellas Verona,n/a
23/6/2020,A,SPAL,n/a
27/6/2020,H,Torino,n/a
1/7/2020,A,Bologna,n/a
5/7/2020,H,Atalanta,n/a
8/7/2020,A,Fiorentina,n/a
12/7/2020,H,Lecce,n/a
15/7/2020,A,Sampdoria,n/a
