Date,H/A,Opponent,Attendance
25/8/2019,H,Bologna,n/a
1/9/2019,A,Lecce,"24,418"
15/9/2019,H,AC Milan,n/a
21/9/2019,A,Juventus,n/a
24/9/2019,H,Udinese,n/a
29/9/2019,A,Cagliari,n/a
5/10/2019,H,Sampdoria,n/a
19/10/2019,A,Napoli,n/a
25/10/2019,H,Sassuolo,n/a
29/10/2019,A,Parma,n/a
3/11/2019,H,Brescia,n/a
9/11/2019,A,Inter Milan,n/a
24/11/2019,H,Fiorentina,n/a
1/12/2019,H,Roma,n/a
7/12/2019,A,Atalanta,n/a
15/12/2019,H,Torino,n/a
5/1/2020,A,SPAL,n/a
12/1/2020,H,Genoa,n/a
19/1/2020,A,Bologna,n/a
26/1/2020,H,Lecce,"15,425"
2/2/2020,A,AC Milan,n/a
5/2/2020,A,Lazio,n/a
8/2/2020,H,Juventus,n/a
16/2/2020,A,Udinese,n/a
8/3/2020,A,Sampdoria,n/a
20/6/2020,H,Cagliari,n/a
23/6/2020,H,Napoli,n/a
28/6/2020,A,Sassuolo,n/a
1/7/2020,H,Parma,n/a
5/7/2020,A,Brescia,n/a
9/7/2020,H,Inter Milan,n/a
12/7/2020,A,Fiorentina,n/a
15/7/2020,A,Roma,n/a
