Date,H/A,Opponent,Attendance
26/8/2019,H,Lecce,n/a
1/9/2019,A,Cagliari,"16,412"
14/9/2019,H,Udinese,n/a
17/9/2019,H,Slavia Prague,"50,128"
21/9/2019,A,AC Milan,n/a
25/9/2019,H,Lazio,n/a
28/9/2019,A,Sampdoria,n/a
2/10/2019,A,Barcelona,"86,141"
6/10/2019,H,Juventus,"75,923"
20/10/2019,A,Sassuolo,n/a
23/10/2019,H,Borussia Dortmund,"65,000"
26/10/2019,H,Parma,n/a
29/10/2019,A,Brescia,n/a
2/11/2019,A,Bologna,n/a
5/11/2019,A,Borussia Dortmund,"66,099"
9/11/2019,H,Hellas Verona,n/a
23/11/2019,A,Torino,n/a
27/11/2019,A,Slavia Prague,"19,370"
1/12/2019,H,SPAL,n/a
6/12/2019,H,Roma,n/a
10/12/2019,H,Barcelona,"71,818"
15/12/2019,A,Fiorentina,n/a
21/12/2019,H,Genoa,n/a
6/1/2020,A,Napoli,"31,191"
11/1/2020,H,Atalanta,n/a
19/1/2020,A,Lecce,n/a
26/1/2020,H,Cagliari,"70,465"
2/2/2020,A,Udinese,n/a
9/2/2020,H,AC Milan,"75,817"
16/2/2020,A,Lazio,n/a
20/2/2020,A,Ludogorets,"10,024"
27/2/2020,H,Ludogorets,n/a
8/3/2020,A,Juventus,n/a
21/6/2020,H,Sampdoria,n/a
24/6/2020,H,Sassuolo,n/a
28/6/2020,A,Parma,n/a
1/7/2020,H,Brescia,n/a
5/7/2020,H,Bologna,n/a
9/7/2020,A,Hellas Verona,n/a
13/7/2020,H,Torino,n/a
16/7/2020,A,SPAL,n/a
  Publish on your site   Download via our feeds   Export as CSV,,,
