Date,H/A,Opponent,Attendance
24/8/2019,A,Parma,n/a
31/8/2019,H,Napoli,n/a
14/9/2019,A,Fiorentina,n/a
18/9/2019,A,Atlético Madrid,"66,283"
21/9/2019,H,Hellas Verona,n/a
24/9/2019,A,Brescia,n/a
28/9/2019,H,SPAL,n/a
1/10/2019,H,Bayer 04 Leverkusen,"34,525"
6/10/2019,A,Inter Milan,"75,923"
19/10/2019,H,Bologna,n/a
22/10/2019,H,Lokomotiv Moscow,"38,547"
26/10/2019,A,Lecce,n/a
30/10/2019,H,Genoa,n/a
2/11/2019,A,Torino,n/a
6/11/2019,A,Lokomotiv Moscow,"26,862"
10/11/2019,H,AC Milan,"40,478"
23/11/2019,A,Atalanta,n/a
26/11/2019,H,Atlético Madrid,"40,486"
1/12/2019,H,Sassuolo,n/a
7/12/2019,A,Lazio,n/a
11/12/2019,A,Bayer 04 Leverkusen,"29,542"
15/12/2019,H,Udinese,n/a
18/12/2019,A,Sampdoria,n/a
6/1/2020,H,Cagliari,"40,598"
12/1/2020,A,Roma,n/a
19/1/2020,H,Parma,n/a
26/1/2020,A,Napoli,"39,111"
2/2/2020,H,Fiorentina,n/a
8/2/2020,A,Hellas Verona,n/a
16/2/2020,H,Brescia,n/a
22/2/2020,A,SPAL,n/a
26/2/2020,A,Lyon,"57,335"
8/3/2020,H,Inter Milan,n/a
22/6/2020,A,Bologna,n/a
26/6/2020,H,Lecce,n/a
30/6/2020,A,Genoa,n/a
4/7/2020,H,Torino,n/a
7/7/2020,A,AC Milan,n/a
11/7/2020,H,Atalanta,n/a
15/7/2020,A,Sassuolo,n/a
