Date,H/A,Opponent,Attendance
25/8/2019,A,Sampdoria,n/a
1/9/2019,H,Roma,"50,000"
15/9/2019,A,SPAL,n/a
19/9/2019,A,CFR Cluj-Napoca,"9,222"
22/9/2019,H,Parma,n/a
25/9/2019,A,Inter Milan,n/a
29/9/2019,H,Genoa,n/a
3/10/2019,H,Rennes,"13,072"
6/10/2019,A,Bologna,"22,052"
19/10/2019,H,Atalanta,n/a
24/10/2019,A,Celtic,"56,172"
27/10/2019,A,Fiorentina,n/a
30/10/2019,H,Torino,n/a
3/11/2019,A,AC Milan,n/a
7/11/2019,H,Celtic,"26,155"
10/11/2019,H,Lecce,"35,000"
24/11/2019,A,Sassuolo,n/a
28/11/2019,H,CFR Cluj-Napoca,n/a
1/12/2019,H,Udinese,n/a
7/12/2019,H,Juventus,n/a
12/12/2019,A,Rennes,"25,082"
16/12/2019,A,Cagliari,n/a
5/1/2020,A,Brescia,n/a
11/1/2020,H,Napoli,n/a
18/1/2020,H,Sampdoria,n/a
26/1/2020,A,Roma,"59,902"
2/2/2020,H,SPAL,n/a
5/2/2020,H,Hellas Verona,n/a
9/2/2020,A,Parma,"17,859"
16/2/2020,H,Inter Milan,n/a
23/2/2020,A,Genoa,"24,032"
29/2/2020,H,Bologna,n/a
24/6/2020,A,Atalanta,n/a
27/6/2020,H,Fiorentina,n/a
30/6/2020,A,Torino,n/a
4/7/2020,H,AC Milan,n/a
7/7/2020,A,Lecce,n/a
11/7/2020,H,Sassuolo,n/a
15/7/2020,A,Udinese,n/a
