Date,H/A,Opponent,Attendance
24/8/2019,H,Juventus,n/a
1/9/2019,A,Udinese,"20,410"
15/9/2019,H,Cagliari,n/a
22/9/2019,A,Lazio,n/a
25/9/2019,H,Sassuolo,n/a
30/9/2019,H,Torino,n/a
5/10/2019,A,SPAL,n/a
20/10/2019,H,Genoa,n/a
26/10/2019,A,Inter Milan,n/a
29/10/2019,H,Hellas Verona,n/a
3/11/2019,A,Fiorentina,n/a
10/11/2019,H,Roma,"18,532"
24/11/2019,A,Bologna,n/a
1/12/2019,H,AC Milan,n/a
8/12/2019,A,Sampdoria,"19,516"
14/12/2019,A,Napoli,n/a
22/12/2019,H,Brescia,"16,686"
6/1/2020,A,Atalanta,"19,217"
13/1/2020,H,Lecce,n/a
19/1/2020,A,Juventus,n/a
26/1/2020,H,Udinese,"14,250"
1/2/2020,A,Cagliari,n/a
9/2/2020,H,Lazio,"17,859"
16/2/2020,A,Sassuolo,n/a
8/3/2020,H,SPAL,n/a
20/6/2020,A,Torino,n/a
23/6/2020,A,Genoa,n/a
28/6/2020,H,Inter Milan,n/a
1/7/2020,A,Hellas Verona,n/a
5/7/2020,H,Fiorentina,n/a
8/7/2020,A,Roma,n/a
12/7/2020,H,Bologna,n/a
15/7/2020,A,AC Milan,n/a
