Date,H/A,Opponent,Attendance
25/8/2019,H,Atalanta,n/a
30/8/2019,A,Bologna,n/a
15/9/2019,H,Lazio,n/a
22/9/2019,A,Sassuolo,n/a
25/9/2019,H,Lecce,n/a
28/9/2019,A,Juventus,n/a
5/10/2019,H,Parma,n/a
20/10/2019,A,Cagliari,n/a
27/10/2019,H,Napoli,n/a
31/10/2019,A,AC Milan,n/a
4/11/2019,H,Sampdoria,n/a
10/11/2019,A,Udinese,"21,621"
25/11/2019,H,Genoa,"12,423"
1/12/2019,A,Inter Milan,n/a
8/12/2019,H,Brescia,"12,442"
15/12/2019,A,Roma,n/a
21/12/2019,A,Torino,n/a
5/1/2020,H,Hellas Verona,n/a
12/1/2020,A,Fiorentina,n/a
20/1/2020,A,Atalanta,n/a
25/1/2020,H,Bologna,n/a
2/2/2020,A,Lazio,n/a
9/2/2020,H,Sassuolo,"12,988"
15/2/2020,A,Lecce,n/a
22/2/2020,H,Juventus,n/a
8/3/2020,A,Parma,n/a
23/6/2020,H,Cagliari,n/a
28/6/2020,A,Napoli,n/a
1/7/2020,H,AC Milan,n/a
5/7/2020,A,Sampdoria,n/a
9/7/2020,H,Udinese,n/a
12/7/2020,A,Genoa,n/a
16/7/2020,H,Inter Milan,n/a
