Date,H/A,Opponent,Attendance
25/8/2019,H,Lazio,n/a
1/9/2019,A,Sassuolo,"9,608"
14/9/2019,A,Napoli,n/a
22/9/2019,H,Torino,n/a
25/9/2019,A,Fiorentina,n/a
28/9/2019,H,Inter Milan,n/a
5/10/2019,A,Hellas Verona,n/a
20/10/2019,H,Roma,n/a
27/10/2019,A,Bologna,n/a
30/10/2019,H,Lecce,n/a
4/11/2019,A,SPAL,n/a
10/11/2019,H,Atalanta,"19,799"
24/11/2019,H,Udinese,n/a
2/12/2019,A,Cagliari,n/a
8/12/2019,H,Parma,"19,516"
14/12/2019,A,Genoa,n/a
18/12/2019,H,Juventus,n/a
6/1/2020,A,AC Milan,"58,572"
12/1/2020,H,Brescia,n/a
18/1/2020,A,Lazio,n/a
26/1/2020,H,Sassuolo,"19,260"
3/2/2020,H,Napoli,n/a
8/2/2020,A,Torino,n/a
16/2/2020,H,Fiorentina,n/a
8/3/2020,H,Hellas Verona,n/a
21/6/2020,A,Inter Milan,n/a
24/6/2020,A,Roma,n/a
28/6/2020,H,Bologna,n/a
1/7/2020,A,Lecce,n/a
5/7/2020,H,SPAL,n/a
8/7/2020,A,Atalanta,n/a
12/7/2020,A,Udinese,n/a
15/7/2020,H,Cagliari,n/a
