Date,H/A,Opponent,Attendance
25/8/2019,A,Torino,n/a
1/9/2019,H,Sampdoria,"9,608"
15/9/2019,A,Roma,n/a
22/9/2019,H,SPAL,n/a
25/9/2019,A,Parma,n/a
28/9/2019,H,Atalanta,n/a
20/10/2019,H,Inter Milan,n/a
25/10/2019,A,Hellas Verona,n/a
30/10/2019,H,Fiorentina,n/a
3/11/2019,A,Lecce,n/a
8/11/2019,H,Bologna,n/a
24/11/2019,H,Lazio,n/a
1/12/2019,A,Juventus,n/a
8/12/2019,H,Cagliari,"12,666"
15/12/2019,A,AC Milan,n/a
18/12/2019,A,Brescia,n/a
22/12/2019,H,Napoli,"12,570"
5/1/2020,A,Genoa,n/a
12/1/2020,A,Udinese,n/a
18/1/2020,H,Torino,n/a
26/1/2020,A,Sampdoria,"19,260"
1/2/2020,H,Roma,n/a
9/2/2020,A,SPAL,"12,988"
16/2/2020,H,Parma,n/a
9/3/2020,H,Brescia,n/a
21/6/2020,A,Atalanta,n/a
24/6/2020,A,Inter Milan,n/a
28/6/2020,H,Hellas Verona,n/a
1/7/2020,A,Fiorentina,n/a
4/7/2020,H,Lecce,n/a
8/7/2020,A,Bologna,n/a
11/7/2020,A,Lazio,n/a
15/7/2020,H,Juventus,n/a
