Date,H/A,Opponent,Attendance
25/8/2019,H,AC Milan,n/a
1/9/2019,H,Parma,"20,410"
14/9/2019,A,Inter Milan,n/a
21/9/2019,H,Brescia,n/a
24/9/2019,A,Hellas Verona,n/a
29/9/2019,H,Bologna,n/a
6/10/2019,A,Fiorentina,"37,963"
20/10/2019,H,Torino,n/a
27/10/2019,A,Atalanta,n/a
30/10/2019,H,Roma,n/a
3/11/2019,A,Genoa,n/a
10/11/2019,H,SPAL,"21,621"
24/11/2019,A,Sampdoria,n/a
1/12/2019,A,Lazio,n/a
7/12/2019,H,Napoli,n/a
15/12/2019,A,Juventus,n/a
21/12/2019,H,Cagliari,n/a
6/1/2020,A,Lecce,"21,321"
12/1/2020,H,Sassuolo,n/a
19/1/2020,A,AC Milan,n/a
26/1/2020,A,Parma,"14,250"
2/2/2020,H,Inter Milan,n/a
9/2/2020,A,Brescia,"13,586"
16/2/2020,H,Hellas Verona,n/a
22/2/2020,A,Bologna,n/a
8/3/2020,H,Fiorentina,n/a
23/6/2020,A,Torino,n/a
28/6/2020,H,Atalanta,n/a
2/7/2020,A,Roma,n/a
5/7/2020,H,Genoa,n/a
9/7/2020,A,SPAL,n/a
12/7/2020,H,Sampdoria,n/a
15/7/2020,H,Lazio,n/a
