Date,H/A,Opponent,Attendance
25/8/2019,A,SPAL,n/a
1/9/2019,H,Torino,"8,182"
15/9/2019,A,Genoa,n/a
18/9/2019,A,Dinamo Zagreb,"28,863"
22/9/2019,H,Fiorentina,n/a
25/9/2019,A,Roma,n/a
28/9/2019,A,Sassuolo,n/a
1/10/2019,H,Shakhtar Donetsk,"26,022"
6/10/2019,H,Lecce,"20,771"
19/10/2019,A,Lazio,n/a
22/10/2019,A,Manchester City,"49,308"
27/10/2019,H,Udinese,n/a
30/10/2019,A,Napoli,n/a
3/11/2019,H,Cagliari,n/a
6/11/2019,H,Manchester City,"32,147"
10/11/2019,A,Sampdoria,"19,799"
23/11/2019,H,Juventus,n/a
26/11/2019,H,Dinamo Zagreb,"26,496"
30/11/2019,A,Brescia,n/a
7/12/2019,H,Hellas Verona,n/a
11/12/2019,A,Shakhtar Donetsk,"26,536"
15/12/2019,A,Bologna,n/a
22/12/2019,H,AC Milan,"20,940"
6/1/2020,H,Parma,"19,217"
11/1/2020,A,Inter Milan,n/a
20/1/2020,H,SPAL,n/a
25/1/2020,A,Torino,n/a
2/2/2020,H,Genoa,n/a
8/2/2020,A,Fiorentina,n/a
15/2/2020,H,Roma,n/a
19/2/2020,H,Valencia,"44,236"
1/3/2020,A,Lecce,"21,344"
10/3/2020,A,Valencia,n/a
21/6/2020,H,Sassuolo,n/a
24/6/2020,H,Lazio,n/a
28/6/2020,A,Udinese,n/a
2/7/2020,H,Napoli,n/a
5/7/2020,A,Cagliari,n/a
8/7/2020,H,Sampdoria,n/a
11/7/2020,A,Juventus,n/a
14/7/2020,H,Brescia,n/a
