Date,H/A,Opponent,Attendance
25/8/2019,A,Cagliari,n/a
31/8/2019,A,AC Milan,n/a
15/9/2019,H,Bologna,n/a
21/9/2019,A,Udinese,n/a
24/9/2019,H,Juventus,n/a
29/9/2019,A,Napoli,n/a
21/10/2019,H,Fiorentina,n/a
26/10/2019,A,Genoa,n/a
29/10/2019,H,Inter Milan,n/a
3/11/2019,A,Hellas Verona,n/a
9/11/2019,H,Torino,n/a
24/11/2019,A,Roma,n/a
30/11/2019,H,Atalanta,n/a
8/12/2019,A,SPAL,"12,442"
14/12/2019,H,Lecce,n/a
18/12/2019,H,Sassuolo,n/a
22/12/2019,A,Parma,"16,686"
5/1/2020,H,Lazio,n/a
12/1/2020,A,Sampdoria,n/a
19/1/2020,H,Cagliari,n/a
24/1/2020,H,AC Milan,n/a
1/2/2020,A,Bologna,n/a
9/2/2020,H,Udinese,"13,586"
16/2/2020,A,Juventus,n/a
21/2/2020,H,Napoli,n/a
9/3/2020,A,Sassuolo,n/a
22/6/2020,A,Fiorentina,n/a
27/6/2020,H,Genoa,n/a
1/7/2020,A,Inter Milan,n/a
5/7/2020,H,Hellas Verona,n/a
8/7/2020,A,Torino,n/a
11/7/2020,H,Roma,n/a
14/7/2020,A,Atalanta,n/a
  Publish on your site   Download via our feeds   Export as CSV,,,
