Date,H/A,Opponent,Attendance
24/8/2019,H,Napoli,n/a
1/9/2019,A,Genoa,"20,000"
14/9/2019,H,Juventus,n/a
22/9/2019,A,Atalanta,n/a
25/9/2019,H,Sampdoria,n/a
29/9/2019,A,AC Milan,n/a
6/10/2019,H,Udinese,"37,963"
21/10/2019,A,Brescia,n/a
27/10/2019,H,Lazio,n/a
30/10/2019,A,Sassuolo,n/a
3/11/2019,H,Parma,n/a
10/11/2019,A,Cagliari,"16,316"
24/11/2019,A,Hellas Verona,n/a
30/11/2019,H,Lecce,n/a
8/12/2019,A,Torino,"19,955"
15/12/2019,H,Inter Milan,n/a
20/12/2019,H,Roma,n/a
6/1/2020,A,Bologna,"22,653"
12/1/2020,H,SPAL,n/a
18/1/2020,A,Napoli,n/a
25/1/2020,H,Genoa,n/a
2/2/2020,A,Juventus,n/a
8/2/2020,H,Atalanta,n/a
16/2/2020,A,Sampdoria,n/a
22/2/2020,H,AC Milan,n/a
8/3/2020,A,Udinese,n/a
22/6/2020,H,Brescia,n/a
27/6/2020,A,Lazio,n/a
1/7/2020,H,Sassuolo,n/a
5/7/2020,A,Parma,n/a
8/7/2020,H,Cagliari,n/a
12/7/2020,H,Hellas Verona,n/a
15/7/2020,A,Lecce,n/a
