Date,H/A,Opponent,Attendance
25/8/2019,A,Roma,n/a
1/9/2019,H,Fiorentina,"20,000"
15/9/2019,H,Atalanta,n/a
20/9/2019,A,Cagliari,n/a
25/9/2019,H,Bologna,n/a
29/9/2019,A,Lazio,n/a
5/10/2019,H,AC Milan,n/a
20/10/2019,A,Parma,n/a
26/10/2019,H,Brescia,n/a
30/10/2019,A,Juventus,n/a
3/11/2019,H,Udinese,n/a
9/11/2019,A,Napoli,n/a
25/11/2019,A,SPAL,"12,423"
30/11/2019,H,Torino,n/a
8/12/2019,A,Lecce,"21,740"
14/12/2019,H,Sampdoria,n/a
21/12/2019,A,Inter Milan,n/a
5/1/2020,H,Sassuolo,n/a
12/1/2020,A,Hellas Verona,n/a
19/1/2020,H,Roma,n/a
25/1/2020,A,Fiorentina,n/a
2/2/2020,A,Atalanta,n/a
9/2/2020,H,Cagliari,"21,301"
15/2/2020,A,Bologna,n/a
23/2/2020,H,Lazio,"24,032"
8/3/2020,A,AC Milan,n/a
23/6/2020,H,Parma,n/a
27/6/2020,A,Brescia,n/a
30/6/2020,H,Juventus,n/a
5/7/2020,A,Udinese,n/a
8/7/2020,H,Napoli,n/a
12/7/2020,H,SPAL,n/a
16/7/2020,A,Torino,n/a
