Date,H/A,Opponent,Attendance
26/8/2019,A,Inter Milan,n/a
1/9/2019,H,Hellas Verona,"24,418"
16/9/2019,A,Torino,n/a
22/9/2019,H,Napoli,n/a
25/9/2019,A,SPAL,n/a
29/9/2019,H,Roma,n/a
6/10/2019,A,Atalanta,"20,771"
20/10/2019,A,AC Milan,n/a
26/10/2019,H,Juventus,n/a
30/10/2019,A,Sampdoria,n/a
3/11/2019,H,Sassuolo,n/a
10/11/2019,A,Lazio,"35,000"
25/11/2019,H,Cagliari,"21,435"
30/11/2019,A,Fiorentina,n/a
8/12/2019,H,Genoa,"21,740"
14/12/2019,A,Brescia,n/a
22/12/2019,H,Bologna,"24,178"
6/1/2020,H,Udinese,"21,321"
13/1/2020,A,Parma,n/a
19/1/2020,H,Inter Milan,n/a
26/1/2020,A,Hellas Verona,"15,425"
2/2/2020,H,Torino,n/a
9/2/2020,A,Napoli,"40,825"
15/2/2020,H,SPAL,n/a
23/2/2020,A,Roma,"34,293"
1/3/2020,H,Atalanta,"21,344"
22/6/2020,H,AC Milan,n/a
26/6/2020,A,Juventus,n/a
1/7/2020,H,Sampdoria,n/a
4/7/2020,A,Sassuolo,n/a
7/7/2020,H,Lazio,n/a
12/7/2020,A,Cagliari,n/a
15/7/2020,H,Fiorentina,n/a
  Publish on your site   Download via our feeds   Export as CSV,,,
