Date,H/A,Opponent,Attendance
25/8/2019,A,Udinese,n/a
31/8/2019,H,Brescia,n/a
15/9/2019,A,Hellas Verona,n/a
21/9/2019,H,Inter Milan,n/a
26/9/2019,A,Torino,n/a
29/9/2019,H,Fiorentina,n/a
5/10/2019,A,Genoa,n/a
20/10/2019,H,Lecce,n/a
27/10/2019,A,Roma,n/a
31/10/2019,H,SPAL,n/a
3/11/2019,H,Lazio,n/a
10/11/2019,A,Juventus,"40,478"
23/11/2019,H,Napoli,n/a
1/12/2019,A,Parma,n/a
8/12/2019,A,Bologna,"23,707"
15/12/2019,H,Sassuolo,n/a
22/12/2019,A,Atalanta,"20,940"
6/1/2020,H,Sampdoria,"58,572"
11/1/2020,A,Cagliari,n/a
19/1/2020,H,Udinese,n/a
24/1/2020,A,Brescia,n/a
2/2/2020,H,Hellas Verona,n/a
9/2/2020,A,Inter Milan,"75,817"
17/2/2020,H,Torino,n/a
22/2/2020,A,Fiorentina,n/a
8/3/2020,H,Genoa,n/a
22/6/2020,A,Lecce,n/a
28/6/2020,H,Roma,n/a
1/7/2020,A,SPAL,n/a
4/7/2020,A,Lazio,n/a
7/7/2020,H,Juventus,n/a
12/7/2020,A,Napoli,n/a
15/7/2020,H,Parma,n/a
