Date,H/A,Opponent,Attendance
24/8/2019,A,Fiorentina,n/a
31/8/2019,A,Juventus,n/a
14/9/2019,H,Sampdoria,n/a
17/9/2019,H,Liverpool,"38,878"
22/9/2019,A,Lecce,n/a
25/9/2019,H,Cagliari,n/a
29/9/2019,H,Brescia,n/a
2/10/2019,A,KRC Genk,"19,962"
6/10/2019,A,Torino,"24,343"
19/10/2019,H,Hellas Verona,n/a
23/10/2019,A,SV Red Bull Salzburg,"29,520"
27/10/2019,A,SPAL,n/a
30/10/2019,H,Atalanta,n/a
2/11/2019,A,Roma,n/a
5/11/2019,H,SV Red Bull Salzburg,"32,862"
9/11/2019,H,Genoa,n/a
23/11/2019,A,AC Milan,n/a
27/11/2019,A,Liverpool,"52,128"
1/12/2019,H,Bologna,n/a
7/12/2019,A,Udinese,n/a
10/12/2019,H,KRC Genk,n/a
14/12/2019,H,Parma,n/a
22/12/2019,A,Sassuolo,"12,570"
6/1/2020,H,Inter Milan,"31,191"
11/1/2020,A,Lazio,n/a
18/1/2020,H,Fiorentina,n/a
26/1/2020,H,Juventus,"39,111"
3/2/2020,A,Sampdoria,n/a
9/2/2020,H,Lecce,"40,825"
16/2/2020,A,Cagliari,n/a
21/2/2020,A,Brescia,n/a
25/2/2020,H,Barcelona,"44,388"
29/2/2020,H,Torino,n/a
23/6/2020,A,Hellas Verona,n/a
28/6/2020,H,SPAL,n/a
2/7/2020,A,Atalanta,n/a
5/7/2020,H,Roma,n/a
8/7/2020,A,Genoa,n/a
12/7/2020,H,AC Milan,n/a
15/7/2020,A,Bologna,n/a
