Date,H/A,Opponent,Attendance
25/8/2019,H,Genoa,n/a
1/9/2019,A,Lazio,"50,000"
15/9/2019,H,Sassuolo,n/a
19/9/2019,H,?stanbul Ba?ak?ehir,"21,348"
22/9/2019,A,Bologna,n/a
25/9/2019,H,Atalanta,n/a
29/9/2019,A,Lecce,n/a
3/10/2019,A,RZ Pellets WAC,n/a
3/10/2019,A,VfL Wolfsburg,"11,169"
6/10/2019,H,Cagliari,"34,385"
20/10/2019,A,Sampdoria,n/a
24/10/2019,H,Borussia Mönchengladbach,"29,037"
27/10/2019,H,AC Milan,n/a
30/10/2019,A,Udinese,n/a
2/11/2019,H,Napoli,n/a
7/11/2019,A,Borussia Mönchengladbach,"44,570"
10/11/2019,A,Parma,"18,532"
24/11/2019,H,Brescia,n/a
28/11/2019,A,?stanbul Ba?ak?ehir,n/a
1/12/2019,A,Hellas Verona,n/a
6/12/2019,A,Inter Milan,n/a
12/12/2019,H,RZ Pellets WAC,n/a
12/12/2019,H,VfL Wolfsburg,"21,672"
15/12/2019,H,SPAL,n/a
20/12/2019,A,Fiorentina,n/a
5/1/2020,H,Torino,n/a
12/1/2020,H,Juventus,n/a
19/1/2020,A,Genoa,n/a
26/1/2020,H,Lazio,"59,902"
1/2/2020,A,Sassuolo,n/a
7/2/2020,H,Bologna,n/a
15/2/2020,A,Atalanta,n/a
20/2/2020,H,KAA Gent,"28,248"
23/2/2020,H,Lecce,"34,293"
27/2/2020,A,KAA Gent,n/a
1/3/2020,A,Cagliari,"14,848"
24/6/2020,H,Sampdoria,n/a
28/6/2020,A,AC Milan,n/a
2/7/2020,H,Udinese,n/a
5/7/2020,A,Napoli,n/a
8/7/2020,H,Parma,n/a
11/7/2020,A,Brescia,n/a
15/7/2020,H,Hellas Verona,n/a
