Date,H/A,Opponent,Attendance
25/7/2019,H,Debreceni VSC,n/a
1/8/2019,A,Debreceni VSC,"15,350"
8/8/2019,H,Shakhtyor Soligorsk,"15,977"
15/8/2019,A,Shakhtyor Soligorsk,"6,154"
22/8/2019,H,Wolverhampton Wanderers,"24,091"
25/8/2019,H,Sassuolo,n/a
29/8/2019,A,Wolverhampton Wanderers,"29,222"
1/9/2019,A,Atalanta,"8,182"
16/9/2019,H,Lecce,n/a
22/9/2019,A,Sampdoria,n/a
26/9/2019,H,AC Milan,n/a
30/9/2019,A,Parma,n/a
6/10/2019,H,Napoli,"24,343"
20/10/2019,A,Udinese,n/a
27/10/2019,H,Cagliari,n/a
30/10/2019,A,Lazio,n/a
2/11/2019,H,Juventus,n/a
9/11/2019,A,Brescia,n/a
23/11/2019,H,Inter Milan,n/a
30/11/2019,A,Genoa,n/a
8/12/2019,H,Fiorentina,"19,955"
15/12/2019,A,Hellas Verona,n/a
21/12/2019,H,SPAL,n/a
5/1/2020,A,Roma,n/a
12/1/2020,H,Bologna,n/a
18/1/2020,A,Sassuolo,n/a
25/1/2020,H,Atalanta,n/a
2/2/2020,A,Lecce,n/a
8/2/2020,H,Sampdoria,n/a
17/2/2020,A,AC Milan,n/a
29/2/2020,A,Napoli,n/a
20/6/2020,H,Parma,n/a
23/6/2020,H,Udinese,n/a
27/6/2020,A,Cagliari,n/a
30/6/2020,H,Lazio,n/a
4/7/2020,A,Juventus,n/a
8/7/2020,H,Brescia,n/a
13/7/2020,A,Inter Milan,n/a
16/7/2020,H,Genoa,n/a
