Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
I1,24/08/2019,17:00,Parma,Juventus,0,1,A,SER12,SER7,Parma,
I1,24/08/2019,19:45,Fiorentina,Napoli,3,4,A,SER4,SER11,Florence,
I1,25/08/2019,17:00,Udinese,Milan,1,0,H,SER18,SER10,Udine,
I1,25/08/2019,19:45,Cagliari,Brescia,0,1,A,SER3,SER2,Cagliari,
I1,25/08/2019,19:45,Roma,Genoa,3,3,D,SER13,SER5,Rome,
I1,25/08/2019,19:45,Sampdoria,Lazio,0,3,A,SER14,SER8,Genoa,
I1,25/08/2019,19:45,Spal,Atalanta,2,3,A,SER16,SER0,Ferrara,
I1,25/08/2019,19:45,Torino,Sassuolo,2,1,H,SER17,SER15,Turin,
I1,25/08/2019,19:45,Verona,Bologna,1,1,D,SER19,SER1,Verona,
I1,26/08/2019,19:45,Inter,Lecce,4,0,H,SER6,SER9,Milan,
I1,30/08/2019,19:45,Bologna,Spal,1,0,H,SER1,SER16,Bologna,
I1,31/08/2019,17:00,Milan,Brescia,1,0,H,SER10,SER2,Milan,
I1,31/08/2019,19:45,Juventus,Napoli,4,3,H,SER7,SER11,Turin,
I1,1/9/19,17:00,Lazio,Roma,1,1,D,SER8,SER13,Rome,
I1,1/9/19,19:45,Atalanta,Torino,2,3,A,SER0,SER17,Bergamo,
I1,1/9/19,19:45,Cagliari,Inter,1,2,A,SER3,SER6,Cagliari,
I1,1/9/19,19:45,Genoa,Fiorentina,2,1,H,SER5,SER4,Genoa,
I1,1/9/19,19:45,Lecce,Verona,0,1,A,SER9,SER19,Lecce,
I1,1/9/19,19:45,Sassuolo,Sampdoria,4,1,H,SER15,SER14,Sassuolo,
I1,1/9/19,19:45,Udinese,Parma,1,3,A,SER18,SER12,Udine,
I1,14/09/2019,14:00,Fiorentina,Juventus,0,0,D,SER4,SER7,Florence,
I1,14/09/2019,17:00,Napoli,Sampdoria,2,0,H,SER11,SER14,Naples,
I1,14/09/2019,19:45,Inter,Udinese,1,0,H,SER6,SER18,Milan,
I1,15/09/2019,11:30,Genoa,Atalanta,1,2,A,SER5,SER0,Milan,
I1,15/09/2019,14:00,Brescia,Bologna,3,4,A,SER2,SER1,Brescia,
I1,15/09/2019,14:00,Parma,Cagliari,1,3,A,SER12,SER3,Parma,
I1,15/09/2019,14:00,Spal,Lazio,2,1,H,SER16,SER8,Ferrara,
I1,15/09/2019,17:00,Roma,Sassuolo,4,2,H,SER13,SER15,Rome,
I1,15/09/2019,19:45,Verona,Milan,0,1,A,SER19,SER10,Verona,
I1,16/09/2019,19:45,Torino,Lecce,1,2,A,SER17,SER9,Turin,
I1,20/09/2019,19:45,Cagliari,Genoa,3,1,H,SER3,SER5,Cagliari,
I1,21/09/2019,14:00,Udinese,Brescia,0,1,A,SER18,SER2,Udine,
I1,21/09/2019,17:00,Juventus,Verona,2,1,H,SER7,SER19,Turin,
I1,21/09/2019,19:45,Milan,Inter,0,2,A,SER10,SER6,Milan,
I1,22/09/2019,11:30,Sassuolo,Spal,3,0,H,SER15,SER16,Sassuolo,
I1,22/09/2019,14:00,Bologna,Roma,1,2,A,SER1,SER13,Bologna,
I1,22/09/2019,14:00,Lecce,Napoli,1,4,A,SER9,SER11,Lecce,
I1,22/09/2019,14:00,Sampdoria,Torino,1,0,H,SER14,SER17,Genoa,
I1,22/09/2019,17:00,Atalanta,Fiorentina,2,2,D,SER0,SER4,Bergamo,
I1,22/09/2019,19:45,Lazio,Parma,2,0,H,SER8,SER12,Rome,
I1,24/09/2019,18:00,Verona,Udinese,0,0,D,SER19,SER18,Verona,
I1,24/09/2019,20:00,Brescia,Juventus,1,2,A,SER2,SER7,Brescia,
I1,25/09/2019,18:00,Roma,Atalanta,0,2,A,SER13,SER0,Rome,
I1,25/09/2019,20:00,Fiorentina,Sampdoria,2,1,H,SER4,SER14,Florence,
I1,25/09/2019,20:00,Genoa,Bologna,0,0,D,SER5,SER1,Genoa,
I1,25/09/2019,20:00,Inter,Lazio,1,0,H,SER6,SER8,Milan,
I1,25/09/2019,20:00,Napoli,Cagliari,0,1,A,SER11,SER3,Naples,
I1,25/09/2019,20:00,Parma,Sassuolo,1,0,H,SER12,SER15,Parma,
I1,25/09/2019,20:00,Spal,Lecce,1,3,A,SER16,SER9,Ferrara,
I1,26/09/2019,20:00,Torino,Milan,2,1,H,SER17,SER10,Turin,
I1,28/09/2019,14:00,Juventus,Spal,2,0,H,SER7,SER16,Turin,
I1,28/09/2019,17:00,Sampdoria,Inter,1,3,A,SER14,SER6,Genoa,
I1,28/09/2019,19:45,Sassuolo,Atalanta,1,4,A,SER15,SER0,Sassuolo,
I1,29/09/2019,11:30,Napoli,Brescia,2,1,H,SER11,SER2,Naples,
I1,29/09/2019,14:00,Lazio,Genoa,4,0,H,SER8,SER5,Rome,
I1,29/09/2019,14:00,Lecce,Roma,0,1,A,SER9,SER13,Lecce,
I1,29/09/2019,14:00,Udinese,Bologna,1,0,H,SER18,SER1,Udine,
