Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Team ID,Opponent,Attendance
I1,2019-08-24,17:00,Parma,Juventus,0,1,A,SER12,SER7,Parma,SER12,Juventus,
I1,2019-08-24,19:45,Fiorentina,Napoli,3,4,A,SER4,SER11,Florence,SER4,Napoli,
I1,2019-08-25,19:45,Roma,Genoa,3,3,D,SER13,SER5,Rome,SER13,Genoa,
I1,2019-08-25,19:45,Spal,Atalanta,2,3,A,SER16,SER0,Ferrara,SER16,Atalanta,
I1,2019-08-25,19:45,Sampdoria,Lazio,0,3,A,SER14,SER8,Genoa,SER14,Lazio,
I1,2019-08-25,19:45,Cagliari,Brescia,0,1,A,SER3,SER2,Cagliari,SER3,Brescia,
I1,2019-08-25,19:45,Torino,Sassuolo,2,1,H,SER17,SER15,Turin,SER17,Sassuolo,
I1,2019-08-25,19:45,Verona,Bologna,1,1,D,SER19,SER1,Verona,SER19,Bologna,
I1,2019-08-25,17:00,Udinese,Milan,1,0,H,SER18,SER10,Udine,SER18,AC Milan,
I1,2019-08-26,19:45,Inter,Lecce,4,0,H,SER6,SER9,Milan,SER6,Lecce,
I1,2019-08-30,19:45,Bologna,Spal,1,0,H,SER1,SER16,Bologna,SER1,SPAL,
I1,2019-08-31,17:00,Milan,Brescia,1,0,H,SER10,SER2,Milan,SER10,Brescia,
I1,2019-08-31,19:45,Juventus,Napoli,4,3,H,SER7,SER11,Turin,SER7,Napoli,
I1,2019-09-01,19:45,Lecce,Verona,0,1,A,SER9,SER19,Lecce,SER9,Hellas Verona,"24,418"
I1,2019-09-01,19:45,Genoa,Fiorentina,2,1,H,SER5,SER4,Genoa,SER5,Fiorentina,"20,000"
I1,2019-09-01,17:00,Lazio,Roma,1,1,D,SER8,SER13,Rome,SER8,Roma,"50,000"
I1,2019-09-01,19:45,Cagliari,Inter,1,2,A,SER3,SER6,Cagliari,SER3,Inter Milan,"16,412"
I1,2019-09-01,19:45,Atalanta,Torino,2,3,A,SER0,SER17,Bergamo,SER0,Torino,"8,182"
I1,2019-09-01,19:45,Udinese,Parma,1,3,A,SER18,SER12,Udine,SER18,Parma,"20,410"
I1,2019-09-01,19:45,Sassuolo,Sampdoria,4,1,H,SER15,SER14,Sassuolo,SER15,Sampdoria,"9,608"
I1,2019-09-14,17:00,Napoli,Sampdoria,2,0,H,SER11,SER14,Naples,SER11,Sampdoria,
I1,2019-09-14,19:45,Inter,Udinese,1,0,H,SER6,SER18,Milan,SER6,Udinese,
I1,2019-09-14,14:00,Fiorentina,Juventus,0,0,D,SER4,SER7,Florence,SER4,Juventus,
I1,2019-09-15,17:00,Roma,Sassuolo,4,2,H,SER13,SER15,Rome,SER13,Sassuolo,
I1,2019-09-15,19:45,Verona,Milan,0,1,A,SER19,SER10,Verona,SER19,AC Milan,
I1,2019-09-15,14:00,Spal,Lazio,2,1,H,SER16,SER8,Ferrara,SER16,Lazio,
I1,2019-09-15,14:00,Parma,Cagliari,1,3,A,SER12,SER3,Parma,SER12,Cagliari,
I1,2019-09-15,11:30,Genoa,Atalanta,1,2,A,SER5,SER0,Milan,SER5,Atalanta,
I1,2019-09-15,14:00,Brescia,Bologna,3,4,A,SER2,SER1,Brescia,SER2,Bologna,
I1,2019-09-16,19:45,Torino,Lecce,1,2,A,SER17,SER9,Turin,SER17,Lecce,
I1,2019-09-20,19:45,Cagliari,Genoa,3,1,H,SER3,SER5,Cagliari,SER3,Genoa,
I1,2019-09-21,17:00,Juventus,Verona,2,1,H,SER7,SER19,Turin,SER7,Hellas Verona,
I1,2019-09-21,14:00,Udinese,Brescia,0,1,A,SER18,SER2,Udine,SER18,Brescia,
I1,2019-09-21,19:45,Milan,Inter,0,2,A,SER10,SER6,Milan,SER10,Inter Milan,
I1,2019-09-22,11:30,Sassuolo,Spal,3,0,H,SER15,SER16,Sassuolo,SER15,SPAL,
I1,2019-09-22,14:00,Lecce,Napoli,1,4,A,SER9,SER11,Lecce,SER9,Napoli,
I1,2019-09-22,14:00,Sampdoria,Torino,1,0,H,SER14,SER17,Genoa,SER14,Torino,
I1,2019-09-22,19:45,Lazio,Parma,2,0,H,SER8,SER12,Rome,SER8,Parma,
I1,2019-09-22,14:00,Bologna,Roma,1,2,A,SER1,SER13,Bologna,SER1,Roma,
I1,2019-09-22,17:00,Atalanta,Fiorentina,2,2,D,SER0,SER4,Bergamo,SER0,Fiorentina,
I1,2019-09-24,20:00,Brescia,Juventus,1,2,A,SER2,SER7,Brescia,SER2,Juventus,
I1,2019-09-24,18:00,Verona,Udinese,0,0,D,SER19,SER18,Verona,SER19,Udinese,
I1,2019-09-25,20:00,Genoa,Bologna,0,0,D,SER5,SER1,Genoa,SER5,Bologna,
I1,2019-09-25,20:00,Inter,Lazio,1,0,H,SER6,SER8,Milan,SER6,Lazio,
I1,2019-09-25,20:00,Fiorentina,Sampdoria,2,1,H,SER4,SER14,Florence,SER4,Sampdoria,
I1,2019-09-25,20:00,Napoli,Cagliari,0,1,A,SER11,SER3,Naples,SER11,Cagliari,
I1,2019-09-25,18:00,Roma,Atalanta,0,2,A,SER13,SER0,Rome,SER13,Atalanta,
I1,2019-09-25,20:00,Spal,Lecce,1,3,A,SER16,SER9,Ferrara,SER16,Lecce,
I1,2019-09-25,20:00,Parma,Sassuolo,1,0,H,SER12,SER15,Parma,SER12,Sassuolo,
I1,2019-09-26,20:00,Torino,Milan,2,1,H,SER17,SER10,Turin,SER17,AC Milan,
I1,2019-09-28,14:00,Juventus,Spal,2,0,H,SER7,SER16,Turin,SER7,SPAL,
I1,2019-09-28,17:00,Sampdoria,Inter,1,3,A,SER14,SER6,Genoa,SER14,Inter Milan,
I1,2019-09-28,19:45,Sassuolo,Atalanta,1,4,A,SER15,SER0,Sassuolo,SER15,Atalanta,
I1,2019-09-29,11:30,Napoli,Brescia,2,1,H,SER11,SER2,Naples,SER11,Brescia,
I1,2019-09-29,17:00,Cagliari,Verona,1,1,D,SER3,SER19,Cagliari,SER3,Hellas Verona,
I1,2019-09-29,14:00,Udinese,Bologna,1,0,H,SER18,SER1,Udine,SER18,Bologna,
I1,2019-09-29,14:00,Lazio,Genoa,4,0,H,SER8,SER5,Rome,SER8,Genoa,
I1,2019-09-29,14:00,Lecce,Roma,0,1,A,SER9,SER13,Lecce,SER9,Roma,
I1,2019-09-29,19:45,Milan,Fiorentina,1,3,A,SER10,SER4,Milan,SER10,Fiorentina,
I1,2019-09-30,19:45,Parma,Torino,3,2,H,SER12,SER17,Parma,SER12,Torino,
I1,2019-10-05,14:00,Spal,Parma,1,0,H,SER16,SER12,Ferrara,SER16,Parma,
I1,2019-10-05,19:45,Genoa,Milan,1,2,A,SER5,SER10,Genoa,SER5,AC Milan,
I1,2019-10-05,17:00,Verona,Sampdoria,2,0,H,SER19,SER14,Verona,SER19,Sampdoria,
I1,2019-10-06,14:00,Bologna,Lazio,2,2,D,SER1,SER8,Bologna,SER1,Lazio,"22,052"
I1,2019-10-06,14:00,Roma,Cagliari,1,1,D,SER13,SER3,Rome,SER13,Cagliari,"34,385"
I1,2019-10-06,11:30,Fiorentina,Udinese,1,0,H,SER4,SER18,Florence,SER4,Udinese,"37,963"
I1,2019-10-06,17:00,Torino,Napoli,0,0,D,SER17,SER11,Turin,SER17,Napoli,"24,343"
I1,2019-10-06,19:45,Inter,Juventus,1,2,A,SER6,SER7,Milan,SER6,Juventus,"75,923"
I1,2019-10-06,14:00,Atalanta,Lecce,3,1,H,SER0,SER9,Bergamo,SER0,Lecce,"20,771"
I1,2019-10-19,17:00,Napoli,Verona,2,0,H,SER11,SER19,Naples,SER11,Hellas Verona,
