League,Team,Avg Home Attendance,Total Home Attendance,Highest Home Attendance,Lowest Home Attendance,Season,KEY
Premier League,Manchester United,"73,404","954,256","73,737","73,198",2019/20,Premier League|Manchester United|2019/20
Premier League,Arsenal,"60,274","783,557","60,383","60,031",2019/20,Premier League|Arsenal|2019/20
Premier League,West Ham United,"59,891","778,581","59,959","59,519",2019/20,Premier League|West Ham United|2019/20
Premier League,Tottenham Hotspur,"59,485","773,310","61,104","56,308",2019/20,Premier League|Tottenham Hotspur|2019/20
Premier League,Liverpool,"53,100","637,196","53,333","51,430",2019/20,Premier League|Liverpool|2019/20
Premier League,Newcastle United,"47,942","623,252","52,217","42,303",2019/20,Premier League|Newcastle United|2019/20
Premier League,Manchester City,"54,388","598,272","54,512","53,922",2019/20,Premier League|Manchester City|2019/20
Premier League,Aston Villa,"41,661","541,594","42,010","40,867",2019/20,Premier League|Aston Villa|2019/20
Premier League,Everton,"39,133","508,729","39,374","38,772",2019/20,Premier League|Everton|2019/20
Premier League,Chelsea,"40,553","486,638","40,683","40,243",2019/20,Premier League|Chelsea|2019/20
Premier League,Leicester City,"32,056","416,727","32,211","31,613",2019/20,Premier League|Leicester City|2019/20
Premier League,Wolverhampton Wanderers,"31,375","407,871","31,746","30,522",2019/20,Premier League|Wolverhampton Wanderers|2019/20
Premier League,Sheffield United,"30,751","399,762","32,024","30,079",2019/20,Premier League|Sheffield United|2019/20
Premier League,Brighton & Hove Albion,"30,376","394,882","30,640","29,398",2019/20,Premier League|Brighton & Hove Albion|2019/20
Premier League,Southampton,"29,655","355,854","31,712","26,302",2019/20,Premier League|Southampton|2019/20
Premier League,Norwich City,"27,026","351,338","27,110","26,781",2019/20,Premier League|Norwich City|2019/20
Premier League,Crystal Palace,"25,065","300,780","25,486","23,497",2019/20,Premier League|Crystal Palace|2019/20
Premier League,Watford,"20,775","270,079","21,488","19,711",2019/20,Premier League|Watford|2019/20
Premier League,Burnley,"20,398","265,176","21,924","19,561",2019/20,Premier League|Burnley|2019/20
Premier League,AFC Bournemouth,"10,498","136,479","10,832","10,020",2019/20,Premier League|AFC Bournemouth|2019/20
Bundesliga,Borussia Dortmund,"81,153","892,685","81,365","80,200",2019/20,Bundesliga|Borussia Dortmund|2019/20
Bundesliga,Bayern Munich,"75,000","825,000","75,000","75,000",2019/20,Bundesliga|Bayern Munich|2019/20
Bundesliga,FC Schalke 04,"60,348","663,825","62,271","51,873",2019/20,Bundesliga|FC Schalke 04|2019/20
Bundesliga,1. FC Koln,"49,691","546,600","50,000","49,100",2019/20,Bundesliga|1. FC Koln|2019/20
Bundesliga,Hertha BSC,"48,771","536,485","74,667","35,049",2019/20,Bundesliga|Hertha BSC|2019/20
Bundesliga,Eintracht Frankfurt,"50,510","505,100","51,500","48,800",2019/20,Bundesliga|Eintracht Frankfurt|2019/20
Bundesliga,Fortuna Dusseldorf,"44,386","488,250","53,000","35,387",2019/20,Bundesliga|Fortuna Dusseldorf|2019/20
Bundesliga,Borussia M'gladbach,"51,376","462,386","54,022","45,000",2019/20,Bundesliga|Borussia M'gladbach|2019/20
Bundesliga,RB Leipzig,"40,791","448,704","42,146","38,407",2019/20,Bundesliga|RB Leipzig|2019/20
Bundesliga,Werder Bremen,"41,023","369,208","42,100","39,870",2019/20,Bundesliga|Werder Bremen|2019/20
