,Div,Date,HomeScore,AwayScore,Result,Avg Temp (in F)
0,E0,2019-08-09,4,1,H,69
1,E0,2019-08-10,0,5,A,68
2,E0,2019-08-10,0,3,A,64
3,E0,2019-08-10,3,1,H,68
4,E0,2019-08-10,0,0,D,68
5,E0,2019-08-10,3,0,H,59
6,E0,2019-08-10,1,1,D,64
7,E0,2019-08-11,0,1,A,60
8,E0,2019-08-11,4,0,H,61
9,E0,2019-08-11,0,0,D,63
10,E0,2019-08-17,2,2,D,63
11,E0,2019-08-17,1,2,A,63
12,E0,2019-08-17,1,1,D,64
13,E0,2019-08-17,1,2,A,64
14,E0,2019-08-17,3,1,H,66
15,E0,2019-08-17,2,1,H,67
16,E0,2019-08-17,1,0,H,62
17,E0,2019-08-18,1,0,H,60
18,E0,2019-08-18,1,1,D,66
19,E0,2019-08-19,1,1,D,60
20,E0,2019-08-23,2,0,H,70
21,E0,2019-08-24,0,2,A,70
22,E0,2019-08-24,3,1,H,69
23,E0,2019-08-24,1,3,A,74
24,E0,2019-08-24,1,2,A,72
25,E0,2019-08-24,2,3,A,72
26,E0,2019-08-24,1,2,A,73
27,E0,2019-08-25,1,3,A,71
28,E0,2019-08-25,0,1,A,82
29,E0,2019-08-25,1,1,D,76
30,E0,2019-08-31,1,1,D,63
31,E0,2019-08-31,4,0,H,63
32,E0,2019-08-31,2,2,D,69
33,E0,2019-08-31,2,0,H,69
34,E0,2019-08-31,1,0,H,69
35,E0,2019-08-31,3,1,H,62
36,E0,2019-08-31,1,1,D,63
37,E0,2019-08-31,0,3,A,58
38,E0,2019-09-01,2,2,D,64
39,E0,2019-09-01,3,2,H,57
40,E0,2019-09-14,4,0,H,73
41,E0,2019-09-14,2,5,A,60
42,E0,2019-09-14,3,2,H,62
43,E0,2019-09-14,1,0,H,61
44,E0,2019-09-14,1,1,D,65
45,E0,2019-09-14,0,1,A,60
46,E0,2019-09-14,3,1,H,61
47,E0,2019-09-15,2,2,D,66
48,E0,2019-09-15,3,1,H,65
