Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Team ID,Opponent,Attendance
D1,2019-08-16,19:30,Bayern Munich,Hertha,2,2,D,BUN1,BUN7,Munich,BUN1,Hertha Berlin,"75,000"
D1,2019-08-17,14:30,Leverkusen,Paderborn,3,2,H,BUN9,BUN12,Leverkusen,BUN9,SC Paderborn 07,"26,208"
D1,2019-08-17,14:30,Freiburg,Mainz,3,0,H,BUN6,BUN10,Freiburg,BUN6,Mainz 05,"24,000"
D1,2019-08-17,17:30,M'gladbach,Schalke 04,0,0,D,BUN11,BUN14,Monchengladbach,BUN11,FC Schalke 04,"54,022"
D1,2019-08-17,14:30,Dortmund,Augsburg,5,1,H,BUN2,BUN0,Dortmund,BUN2,FC Augsburg,"81,365"
D1,2019-08-17,14:30,Werder Bremen,Fortuna Dusseldorf,1,3,A,BUN16,BUN5,Bremen,BUN16,Fortuna Düsseldorf,"42,100"
D1,2019-08-17,14:30,Wolfsburg,FC Koln,2,1,H,BUN17,BUN4,Wolfsburg,BUN17,1. FC Köln,"25,099"
D1,2019-08-18,14:30,Ein Frankfurt,Hoffenheim,1,0,H,BUN3,BUN8,Frankfurt,BUN3,1899 Hoffenheim,"50,200"
D1,2019-08-18,17:00,Union Berlin,RB Leipzig,0,4,A,BUN15,BUN13,Berlin,BUN15,RB Leipzig,"22,467"
D1,2019-08-23,19:30,FC Koln,Dortmund,1,3,A,BUN4,BUN2,Cologne,BUN4,Borussia Dortmund,"50,000"
D1,2019-08-24,14:30,Augsburg,Union Berlin,1,1,D,BUN0,BUN15,Augsburg,BUN0,1. FC Union Berlin,"27,703"
D1,2019-08-24,14:30,Mainz,M'gladbach,1,3,A,BUN10,BUN11,Mainz,BUN10,Borussia Mönchengladbach,"28,005"
D1,2019-08-24,14:30,Fortuna Dusseldorf,Leverkusen,1,3,A,BUN5,BUN9,Dusseldorf,BUN5,Bayer 04 Leverkusen,"44,538"
D1,2019-08-24,14:30,Paderborn,Freiburg,1,3,A,BUN12,BUN6,Paderborn,BUN12,SC Freiburg,"14,322"
D1,2019-08-24,17:30,Schalke 04,Bayern Munich,0,3,A,BUN14,BUN1,Gelsenkirchen,BUN14,Bayern Munich,"62,271"
D1,2019-08-24,14:30,Hoffenheim,Werder Bremen,3,2,H,BUN8,BUN16,Sinsheim,BUN8,Werder Bremen,"27,333"
D1,2019-08-25,17:00,Hertha,Wolfsburg,0,3,A,BUN7,BUN17,Berlin,BUN7,VfL Wolfsburg,"42,738"
D1,2019-08-25,14:30,RB Leipzig,Ein Frankfurt,2,1,H,BUN13,BUN3,Leipzig,BUN13,Eintracht Frankfurt,"40,108"
D1,2019-08-30,19:30,M'gladbach,RB Leipzig,1,3,A,BUN11,BUN13,Monchengladbach,BUN11,RB Leipzig,
D1,2019-08-31,14:30,Leverkusen,Hoffenheim,0,0,D,BUN9,BUN8,Leverkusen,BUN9,1899 Hoffenheim,"26,506"
D1,2019-08-31,14:30,Bayern Munich,Mainz,6,1,H,BUN1,BUN10,Munich,BUN1,Mainz 05,"75,000"
D1,2019-08-31,14:30,Wolfsburg,Paderborn,1,1,D,BUN17,BUN12,Wolfsburg,BUN17,SC Paderborn 07,"23,750"
D1,2019-08-31,17:30,Union Berlin,Dortmund,3,1,H,BUN15,BUN2,Berlin,BUN15,Borussia Dortmund,"22,467"
D1,2019-08-31,14:30,Schalke 04,Hertha,3,0,H,BUN14,BUN7,Gelsenkirchen,BUN14,Hertha Berlin,"58,875"
D1,2019-08-31,14:30,Freiburg,FC Koln,1,2,A,BUN6,BUN4,Freiburg,BUN6,1. FC Köln,"24,000"
D1,2019-09-01,17:00,Ein Frankfurt,Fortuna Dusseldorf,2,1,H,BUN3,BUN5,Frankfurt,BUN3,Fortuna Düsseldorf,"49,800"
D1,2019-09-01,14:30,Werder Bremen,Augsburg,3,2,H,BUN16,BUN0,Bremen,BUN16,FC Augsburg,"40,041"
D1,2019-09-13,19:30,Fortuna Dusseldorf,Wolfsburg,1,1,D,BUN5,BUN17,Dusseldorf,BUN5,VfL Wolfsburg,"36,758"
D1,2019-09-14,14:30,FC Koln,M'gladbach,0,1,A,BUN4,BUN11,Cologne,BUN4,Borussia Mönchengladbach,"50,000"
D1,2019-09-14,14:30,Union Berlin,Werder Bremen,1,2,A,BUN15,BUN16,Berlin,BUN15,Werder Bremen,"22,012"
D1,2019-09-14,14:30,Mainz,Hertha,2,1,H,BUN10,BUN7,Mainz,BUN10,Hertha Berlin,"22,798"
D1,2019-09-14,17:30,RB Leipzig,Bayern Munich,1,1,D,BUN13,BUN1,Leipzig,BUN13,Bayern Munich,"42,146"
D1,2019-09-14,14:30,Augsburg,Ein Frankfurt,2,1,H,BUN0,BUN3,Augsburg,BUN0,Eintracht Frankfurt,"28,513"
D1,2019-09-14,14:30,Dortmund,Leverkusen,4,0,H,BUN2,BUN9,Dortmund,BUN2,Bayer 04 Leverkusen,"81,365"
D1,2019-09-15,17:00,Paderborn,Schalke 04,1,5,A,BUN12,BUN14,Paderborn,BUN12,FC Schalke 04,"15,000"
D1,2019-09-15,14:30,Hoffenheim,Freiburg,0,3,A,BUN8,BUN6,Sinsheim,BUN8,SC Freiburg,"29,395"
D1,2019-09-20,19:30,Schalke 04,Mainz,2,1,H,BUN14,BUN10,Gelsenkirchen,BUN14,Mainz 05,"58,687"
D1,2019-09-21,14:30,Hertha,Paderborn,2,1,H,BUN7,BUN12,Berlin,BUN7,SC Paderborn 07,"43,588"
