,Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Unnamed: 11,Latitude,Longitude,Avg Temp (in F)
0,D1,2019-08-16,19:30,Bayern Munich,Hertha,2,2,D,BUN1,BUN7,Munich,,48.1351253,11.5819805,66
1,D1,2019-08-17,14:30,Dortmund,Augsburg,5,1,H,BUN2,BUN0,Dortmund,,51.5135872,7.465298100000001,67
2,D1,2019-08-17,14:30,Freiburg,Mainz,3,0,H,BUN6,BUN10,Freiburg,,47.9990077,7.842104299999999,68
3,D1,2019-08-17,14:30,Leverkusen,Paderborn,3,2,H,BUN9,BUN12,Leverkusen,,51.04592479999999,7.0192196,68
4,D1,2019-08-17,14:30,Werder Bremen,Fortuna Dusseldorf,1,3,A,BUN16,BUN5,Bremen,,53.07929619999999,8.8016936,66
5,D1,2019-08-17,14:30,Wolfsburg,FC Koln,2,1,H,BUN17,BUN4,Wolfsburg,,52.4226503,10.7865461,68
6,D1,2019-08-17,17:30,Gladbach,Schalke 04,0,0,D,BUN11,BUN14,Monchengladbach,,51.1804572,6.4428041,66
7,D1,2019-08-18,14:30,Ein Frankfurt,Hoffenheim,1,0,H,BUN3,BUN8,Frankfurt,,50.1109221,8.6821267,75
8,D1,2019-08-18,17:00,Union Berlin,RB Leipzig,0,4,A,BUN15,BUN13,Berlin,,52.52000659999999,13.404954,70
9,D1,2019-08-23,19:30,FC Koln,Dortmund,1,3,A,BUN4,BUN2,Cologne,,50.937531,6.9602786,82
10,D1,2019-08-24,14:30,Augsburg,Union Berlin,1,1,D,BUN0,BUN15,Augsburg,,48.3705449,10.89779,69
11,D1,2019-08-24,14:30,Fortuna Dusseldorf,Leverkusen,1,3,A,BUN5,BUN9,Dusseldorf,,51.2277411,6.7734556,84
12,D1,2019-08-24,14:30,Hoffenheim,Werder Bremen,3,2,H,BUN8,BUN16,Sinsheim,,49.2488637,8.8884905,77
13,D1,2019-08-24,14:30,Mainz,Gladbach,1,3,A,BUN10,BUN11,Mainz,,49.9928617,8.2472526,80
14,D1,2019-08-24,14:30,Paderborn,Freiburg,1,3,A,BUN12,BUN6,Paderborn,,51.7189205,8.757509299999999,75
15,D1,2019-08-24,17:30,Schalke 04,Bayern Munich,0,3,A,BUN14,BUN1,Gelsenkirchen,,51.517744,7.085717199999999,83
16,D1,2019-08-25,14:30,RB Leipzig,Ein Frankfurt,2,1,H,BUN13,BUN3,Leipzig,,51.3396955,12.3730747,82
