,Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Unnamed: 11,Latitude,Longitude,Avg Temp (in F)
0,SP1,2019-08-16,20:00,Ath Bilbao,Barcelona,1,0,H,LIG1,LIG3,Bilbao,,43.2630126,-2.9349852,73
1,SP1,2019-08-17,16:00,Celta,Real Madrid,1,3,A,LIG5,LIG14,Vigo,,42.24059889999999,-8.7207268,69
2,SP1,2019-08-17,18:00,Valencia,Sociedad,1,1,D,LIG17,LIG16,Valencia,,39.4699075,-0.3762881,84
3,SP1,2019-08-17,19:00,Mallorca,Eibar,2,1,H,LIG12,LIG6,Palma,,39.5696005,2.6501603,84
4,SP1,2019-08-17,20:00,Leganes,Osasuna,0,1,A,LIG10,LIG13,Leganes,,40.3319506,-3.7686545,90
5,SP1,2019-08-17,20:00,Villarreal,Granada,4,4,D,LIG19,LIG9,Villarreal,,39.9397706,-0.1005932,82
6,SP1,2019-08-18,16:00,Alaves,Levante,1,0,H,LIG0,LIG11,Vitoria-Gasteiz,,42.850237,-2.6728711,72
7,SP1,2019-08-18,18:00,Espanol,Sevilla,0,2,A,LIG7,LIG15,Barcelona,,41.3850639,2.1734035,82
8,SP1,2019-08-18,20:00,Betis,Valladolid,1,2,A,LIG4,LIG18,Seville,,37.3890924,-5.9844589,89
9,SP1,2019-08-18,21:00,Ath Madrid,Getafe,1,0,H,LIG2,LIG8,Madrid,,40.4167754,-3.7037902,87
10,SP1,2019-08-23,19:00,Granada,Sevilla,0,1,A,LIG9,LIG15,Granada,,37.1773363,-3.5985571,79
11,SP1,2019-08-23,21:00,Levante,Villarreal,2,1,H,LIG11,LIG19,Valencia,,39.4699075,-0.3762881,83
12,SP1,2019-08-24,16:00,Osasuna,Eibar,0,0,D,LIG13,LIG6,Pamplona,,42.812526,-1.6457745,81
13,SP1,2019-08-24,18:00,Real Madrid,Valladolid,1,1,D,LIG14,LIG18,Madrid,,40.4167754,-3.7037902,85
14,SP1,2019-08-24,20:00,Celta,Valencia,1,0,H,LIG5,LIG17,Vigo,,42.24059889999999,-8.7207268,66
15,SP1,2019-08-24,20:00,Getafe,Ath Bilbao,1,1,D,LIG8,LIG1,Getafe,,40.3082504,-3.7323934,83
16,SP1,2019-08-25,16:00,Alaves,Espanol,0,0,D,LIG0,LIG7,Vitoria-Gasteiz,,42.850237,-2.6728711,75
17,SP1,2019-08-25,16:00,Mallorca,Sociedad,0,1,A,LIG12,LIG16,Palma,,39.5696005,2.6501603,82
18,SP1,2019-08-25,18:00,Leganes,Ath Madrid,0,1,A,LIG10,LIG2,Leganes,,40.3319506,-3.7686545,83
19,SP1,2019-08-25,20:00,Barcelona,Betis,5,2,H,LIG3,LIG4,Barcelona,,41.3850639,2.1734035,83
20,SP1,2019-08-30,19:00,Sevilla,Celta,1,1,D,LIG15,LIG5,Seville,,37.3890924,-5.9844589,89
21,SP1,2019-08-30,21:00,Ath Bilbao,Sociedad,2,0,H,LIG1,LIG16,Bilbao,,43.2630126,-2.9349852,75
22,SP1,2019-08-31,16:00,Osasuna,Barcelona,2,2,D,LIG13,LIG3,Pamplona,,42.812526,-1.6457745,81
23,SP1,2019-08-31,18:00,Getafe,Alaves,1,1,D,LIG8,LIG0,Getafe,,40.3082504,-3.7323934,83
24,SP1,2019-08-31,18:00,Levante,Valladolid,2,0,H,LIG11,LIG18,Valencia,,39.4699075,-0.3762881,86
25,SP1,2019-08-31,20:00,Betis,Leganes,2,1,H,LIG4,LIG10,Seville,,37.3890924,-5.9844589,88
