Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
SP1,16/08/2019,20:00,Ath Bilbao,Barcelona,1,0,H,LIG1,LIG3,Bilbao,
SP1,17/08/2019,16:00,Celta,Real Madrid,1,3,A,LIG5,LIG14,Vigo,
SP1,17/08/2019,18:00,Valencia,Sociedad,1,1,D,LIG17,LIG16,Valencia,
SP1,17/08/2019,19:00,Mallorca,Eibar,2,1,H,LIG12,LIG6,Palma,
SP1,17/08/2019,20:00,Leganes,Osasuna,0,1,A,LIG10,LIG13,Leganes,
SP1,17/08/2019,20:00,Villarreal,Granada,4,4,D,LIG19,LIG9,Villarreal,
SP1,18/08/2019,16:00,Alaves,Levante,1,0,H,LIG0,LIG11,Vitoria-Gasteiz,
SP1,18/08/2019,18:00,Espanol,Sevilla,0,2,A,LIG7,LIG15,Barcelona,
SP1,18/08/2019,20:00,Betis,Valladolid,1,2,A,LIG4,LIG18,Seville,
SP1,18/08/2019,21:00,Ath Madrid,Getafe,1,0,H,LIG2,LIG8,Madrid,
SP1,23/08/2019,19:00,Granada,Sevilla,0,1,A,LIG9,LIG15,Granada,
SP1,23/08/2019,21:00,Levante,Villarreal,2,1,H,LIG11,LIG19,Valencia,
SP1,24/08/2019,16:00,Osasuna,Eibar,0,0,D,LIG13,LIG6,Pamplona,
SP1,24/08/2019,18:00,Real Madrid,Valladolid,1,1,D,LIG14,LIG18,Madrid,
SP1,24/08/2019,20:00,Celta,Valencia,1,0,H,LIG5,LIG17,Vigo,
SP1,24/08/2019,20:00,Getafe,Ath Bilbao,1,1,D,LIG8,LIG1,Getafe,
SP1,25/08/2019,16:00,Alaves,Espanol,0,0,D,LIG0,LIG7,Vitoria-Gasteiz,
SP1,25/08/2019,16:00,Mallorca,Sociedad,0,1,A,LIG12,LIG16,Palma,
SP1,25/08/2019,18:00,Leganes,Ath Madrid,0,1,A,LIG10,LIG2,Leganes,
SP1,25/08/2019,20:00,Barcelona,Betis,5,2,H,LIG3,LIG4,Barcelona,
SP1,30/08/2019,19:00,Sevilla,Celta,1,1,D,LIG15,LIG5,Seville,
SP1,30/08/2019,21:00,Ath Bilbao,Sociedad,2,0,H,LIG1,LIG16,Bilbao,
SP1,31/08/2019,16:00,Osasuna,Barcelona,2,2,D,LIG13,LIG3,Pamplona,
SP1,31/08/2019,18:00,Getafe,Alaves,1,1,D,LIG8,LIG0,Getafe,
SP1,31/08/2019,18:00,Levante,Valladolid,2,0,H,LIG11,LIG18,Valencia,
SP1,31/08/2019,20:00,Betis,Leganes,2,1,H,LIG4,LIG10,Seville,
SP1,1/9/19,16:00,Valencia,Mallorca,2,0,H,LIG17,LIG12,Valencia,
SP1,1/9/19,18:00,Ath Madrid,Eibar,3,2,H,LIG2,LIG6,Madrid,
SP1,1/9/19,18:00,Espanol,Granada,0,3,A,LIG7,LIG9,Barcelona,
SP1,1/9/19,20:00,Villarreal,Real Madrid,2,2,D,LIG19,LIG14,Villarreal,
SP1,13/09/2019,20:00,Mallorca,Ath Bilbao,0,0,D,LIG12,LIG1,Palma,
SP1,14/09/2019,12:00,Real Madrid,Levante,3,2,H,LIG14,LIG11,Madrid,
SP1,14/09/2019,15:00,Leganes,Villarreal,0,3,A,LIG10,LIG19,Leganes,
SP1,14/09/2019,17:30,Sociedad,Ath Madrid,2,0,H,LIG16,LIG2,San Sebastian,
SP1,14/09/2019,20:00,Barcelona,Valencia,5,2,H,LIG3,LIG17,Barcelona,
SP1,15/09/2019,11:00,Eibar,Espanol,1,2,A,LIG6,LIG7,Eibar,
SP1,15/09/2019,13:00,Alaves,Sevilla,0,1,A,LIG0,LIG15,Vitoria-Gasteiz,
SP1,15/09/2019,15:00,Celta,Granada,0,2,A,LIG5,LIG9,Vigo,
SP1,15/09/2019,17:30,Valladolid,Osasuna,1,1,D,LIG18,LIG13,Valladolid,
SP1,15/09/2019,20:00,Betis,Getafe,1,1,D,LIG4,LIG8,Getafe,
SP1,20/09/2019,20:00,Osasuna,Betis,0,0,D,LIG13,LIG4,Pamplona,
SP1,21/09/2019,12:00,Villarreal,Valladolid,2,0,H,LIG19,LIG18,Villarreal,
SP1,21/09/2019,15:00,Levante,Eibar,0,0,D,LIG11,LIG6,Valencia,
SP1,21/09/2019,17:30,Ath Madrid,Celta,0,0,D,LIG2,LIG5,Madrid,
SP1,21/09/2019,20:00,Granada,Barcelona,2,0,H,LIG9,LIG3,Granada,
SP1,22/09/2019,11:00,Getafe,Mallorca,4,2,H,LIG8,LIG12,Getafe,
SP1,22/09/2019,13:00,Espanol,Sociedad,1,3,A,LIG7,LIG16,Barcelona,
SP1,22/09/2019,15:00,Valencia,Leganes,1,1,D,LIG17,LIG10,Valencia,
SP1,22/09/2019,17:30,Ath Bilbao,Alaves,2,0,H,LIG1,LIG0,Bilbao,
SP1,22/09/2019,20:00,Sevilla,Real Madrid,0,1,A,LIG15,LIG14,Seville,
SP1,24/09/2019,18:00,Valladolid,Granada,1,1,D,LIG18,LIG9,Valladolid,
SP1,24/09/2019,19:00,Betis,Levante,3,1,H,LIG4,LIG11,Seville,
SP1,24/09/2019,20:00,Barcelona,Villarreal,2,1,H,LIG3,LIG19,Barcelona,
SP1,25/09/2019,18:00,Leganes,Ath Bilbao,1,1,D,LIG10,LIG1,Leganes,
SP1,25/09/2019,18:00,Mallorca,Ath Madrid,0,2,A,LIG12,LIG2,Palma,
